INITIAL DISTRIBUTION	MB
BIN SIZE	0.179382
T_SIGN	BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
1	7	1.43505	1.61443	6.1965	7.3005	0.377408
1	8	1.61443	1.79382	4.927	6.94167	0.523764
1	9	1.79382	1.9732	9.3055	9.38267	0.341322
1	10	1.9732	2.15258	10.4895	8.664	0.437981
1	11	2.15258	2.33196	6.048	7.81592	0.552676
1	12	2.33196	2.51134	6.96	7.59717	0.551008
1	13	2.51134	2.69072	2.4645	5.86475	0.634979
1	14	2.69072	2.87011	5.927	6.03583	0.500171
1	15	2.87011	3.04949	4.474	4.91583	0.386566
1	16	3.04949	3.22887	5.0045	4.19275	0.170317
1	17	3.22887	3.40825	4.492	4.12842	0.398789
1	18	3.40825	3.58763	3.5325	3.28317	0.26439
1	19	3.58763	3.76701	2.9575	2.18525	0.214247
1	20	3.76701	3.9464	2.5595	2.49442	0.165991
1	21	3.9464	4.12578	1.4065	1.34258	0.132424
1	22	4.12578	4.30516	2.21	0.943833	0.236083
1	23	4.30516	4.48454	1.772	0.827333	0.187251
1	24	4.48454	4.66392	0.33	0.26225	0.0502413
1	25	4.66392	4.8433	0.0475	0.0495833	0.0154755
1	26	4.8433	5.02269	0.009	0.222917	0.0778295
1	27	5.02269	5.20207	0.165	0.412667	0.114647
1	28	5.20207	5.38145	0.0155	0.209167	0.104769
1	29	5.38145	5.56083	0.003	0.16975	0.0875887

1	0	0.179382	0.358763	0.2705	0.227357	0.0550407
1	1	0.358763	0.538145	0.9885	0.574571	0.0917019
1	2	0.538145	0.717527	1.6025	1.45829	0.307049
1	3	0.717527	0.896908	3.604	2.73436	0.32914
1	4	0.896908	1.07629	2.7945	4.36621	0.332854
1	5	1.07629	1.25567	4.1225	5.64721	0.536378
1	6	1.25567	1.43505	8.2255	7.107	0.586339
1	7	1.43505	1.61443	5.543	7.04943	0.398346
1	8	1.61443	1.79382	6.994	6.94914	0.448994
1	9	1.79382	1.9732	9.7665	9.4375	0.296934
1	10	1.9732	2.15258	7.7855	8.5385	0.392982
1	11	2.15258	2.33196	8.623	7.93121	0.4856
1	12	2.33196	2.51134	8.175	7.67971	0.478436
1	13	2.51134	2.69072	7.5415	6.10429	0.587715
1	14	2.69072	2.87011	6.9695	6.16921	0.446148
1	15	2.87011	3.04949	4.3845	4.83993	0.338712
1	16	3.04949	3.22887	3.8795	4.148	0.151751
1	17	3.22887	3.40825	3.625	4.0565	0.348244
1	18	3.40825	3.58763	2.7355	3.20493	0.237914
1	19	3.58763	3.76701	2.613	2.24636	0.192157
1	20	3.76701	3.9464	2.3625	2.47557	0.143344
1	21	3.9464	4.12578	2.368	1.48907	0.176853
1	22	4.12578	4.30516	1.7155	1.05407	0.226638
1	23	4.30516	4.48454	0.9065	0.838643	0.160842
1	24	4.48454	4.66392	0.3415	0.273571	0.0443212
1	25	4.66392	4.8433	0.0625	0.0514286	0.0133743
1	26	4.8433	5.02269	0	0.191071	0.0729356
1	27	5.02269	5.20207	0	0.353714	0.112408
1	28	5.20207	5.38145	0	0.179286	0.0939663
1	29	5.38145	5.56083	0	0.1455	0.0783611

1	0	0.179382	0.358763	0.6915	0.285375	0.0725586
1	1	0.358763	0.538145	1.147	0.646125	0.10449
1	2	0.538145	0.717527	2.9005	1.63856	0.317206
1	3	0.717527	0.896908	2.822	2.74531	0.28818
1	4	0.896908	1.07629	5.2165	4.4725	0.307749
1	5	1.07629	1.25567	3.841	5.42144	0.51466
1	6	1.25567	1.43505	5.0115	6.84506	0.568552
1	7	1.43505	1.61443	5.8395	6.89819	0.376169
1	8	1.61443	1.79382	6.477	6.89012	0.396729
1	9	1.79382	1.9732	7.037	9.13744	0.382476
1	10	1.9732	2.15258	6.8225	8.324	0.398118
1	11	2.15258	2.33196	7.852	7.92131	0.425001
1	12	2.33196	2.51134	10.109	7.98338	0.505901
1	13	2.51134	2.69072	7.069	6.22488	0.526476
1	14	2.69072	2.87011	7.269	6.30669	0.411014
1	15	2.87011	3.04949	5.211	4.88631	0.299532
1	16	3.04949	3.22887	4.777	4.22663	0.15179
1	17	3.22887	3.40825	5.1625	4.19475	0.33102
1	18	3.40825	3.58763	3.0175	3.1815	0.209325
1	19	3.58763	3.76701	3.016	2.34256	0.190706
1	20	3.76701	3.9464	2.509	2.47975	0.125487
1	21	3.9464	4.12578	1.894	1.53969	0.161827
1	22	4.12578	4.30516	1.2675	1.08075	0.199872
1	23	4.30516	4.48454	0.4295	0.7875	0.148646
1	24	4.48454	4.66392	0.152	0.258375	0.0413042
1	25	4.66392	4.8433	0.27	0.07875	0.0281087
1	26	4.8433	5.02269	0.069	0.175812	0.0653954
1	27	5.02269	5.20207	0	0.3095	0.106699
1	28	5.20207	5.38145	0	0.156875	0.0848509
1	29	5.38145	5.56083	0	0.127312	0.0706451

1	0	0.179382	0.358763	0.277	0.284444	0.0645025
1	1	0.358763	0.538145	1.305	0.719333	0.115718
1	2	0.538145	0.717527	1.96	1.67428	0.283965
1	3	0.717527	0.896908	1.3585	2.59122	0.294489
1	4	0.896908	1.07629	2.5245	4.25606	0.341284
1	5	1.07629	1.25567	4.4995	5.319	0.467559
1	6	1.25567	1.43505	6.2025	6.77367	0.509843
1	7	1.43505	1.61443	4.9755	6.68456	0.39035
1	8	1.61443	1.79382	8.5805	7.07794	0.394611
1	9	1.79382	1.9732	8.8785	9.10867	0.341059
1	10	1.9732	2.15258	8.514	8.34511	0.354442
1	11	2.15258	2.33196	8.4825	7.98367	0.382325
1	12	2.33196	2.51134	7.5195	7.93183	0.452308
1	13	2.51134	2.69072	7.973	6.41911	0.502534
1	14	2.69072	2.87011	6.3955	6.31656	0.365464
1	15	2.87011	3.04949	6.051	5.01572	0.292875
1	16	3.04949	3.22887	5.8145	4.40306	0.214182
1	17	3.22887	3.40825	5.2095	4.3075	0.312853
1	18	3.40825	3.58763	3.8575	3.25661	0.199087
1	19	3.58763	3.76701	1.787	2.28083	0.179229
1	20	3.76701	3.9464	2.084	2.43578	0.118999
1	21	3.9464	4.12578	1.9535	1.58567	0.150237
1	22	4.12578	4.30516	0.803	1.04989	0.180031
1	23	4.30516	4.48454	0.243	0.727	0.143916
1	24	4.48454	4.66392	0.2525	0.257722	0.03672
1	25	4.66392	4.8433	0.163	0.0881111	0.0264985
1	26	4.8433	5.02269	0.3085	0.190556	0.059768
1	27	5.02269	5.20207	0.026	0.278	0.0993847
1	28	5.20207	5.38145	0	0.139444	0.0771926
1	29	5.38145	5.56083	0	0.113167	0.0641963

1	0	0.179382	0.358763	0.653	0.3213	0.0677685
1	1	0.358763	0.538145	0.8085	0.72825	0.104489
1	2	0.538145	0.717527	3.5905	1.8659	0.313628
1	3	0.717527	0.896908	2.55	2.5871	0.265069
1	4	0.896908	1.07629	1.5655	3.987	0.39937
1	5	1.07629	1.25567	3.0945	5.09655	0.470755
1	6	1.25567	1.43505	6.977	6.794	0.459264
1	7	1.43505	1.61443	6.6865	6.68475	0.351315
1	8	1.61443	1.79382	6.3595	7.0061	0.361631
1	9	1.79382	1.9732	7.8215	8.97995	0.33035
1	10	1.9732	2.15258	8.6505	8.37565	0.320311
1	11	2.15258	2.33196	6.6895	7.85425	0.365341
1	12	2.33196	2.51134	8.2455	7.9632	0.408163
1	13	2.51134	2.69072	6.545	6.4317	0.452438
1	14	2.69072	2.87011	6.571	6.342	0.329802
1	15	2.87011	3.04949	7.3245	5.2466	0.342713
1	16	3.04949	3.22887	7.205	4.68325	0.328353
1	17	3.22887	3.40825	5.6015	4.4369	0.307165
1	18	3.40825	3.58763	2.985	3.22945	0.181022
1	19	3.58763	3.76701	3.324	2.38515	0.189244
1	20	3.76701	3.9464	3.4395	2.53615	0.143309
1	21	3.9464	4.12578	0.3535	1.46245	0.178736
1	22	4.12578	4.30516	0.1775	0.96265	0.181941
1	23	4.30516	4.48454	0.155	0.6698	0.140432
1	24	4.48454	4.66392	0.4455	0.2765	0.0375435
1	25	4.66392	4.8433	0.147	0.094	0.0244943
1	26	4.8433	5.02269	0.0035	0.17185	0.0566427
1	27	5.02269	5.20207	0	0.2502	0.0932534
1	28	5.20207	5.38145	0	0.1255	0.0707216
1	29	5.38145	5.56083	0	0.10185	0.0587657

1	0	0.179382	0.358763	0.5665	0.343591	0.0651707
1	1	0.358763	0.538145	0.948	0.748227	0.0968813
1	2	0.538145	0.717527	1.943	1.87291	0.285194
1	3	0.717527	0.896908	2.3825	2.5685	0.241623
