Step	Temp
641	1.50994
642	1.5276
643	1.54588
644	1.56468
645	1.58388
646	1.60338
647	1.62306
648	1.64284
649	1.66261
650	1.68228
651	1.70177
652	1.72101
653	1.73991
654	1.75843
655	1.7765
656	1.79406
657	1.81109
658	1.82754
659	1.84339
660	1.85861
661	1.87317
662	1.88708
663	1.90032
664	1.9129
665	1.9248
666	1.93603
667	1.94661
668	1.95653
669	1.96582
670	1.97448
671	1.98254
672	1.99
673	1.99689
674	2.00322
675	2.00901
676	2.01428
677	2.01904
678	2.02332
679	2.02714
680	2.0305
681	2.03342
682	2.03593
683	2.03804
684	2.03975
685	2.04108
686	2.04205
687	2.04266
688	2.04293
689	2.04286
690	2.04246
691	2.04173
692	2.04069
693	2.03933
694	2.03767
695	2.03569
696	2.03341
697	2.03082
698	2.02792
699	2.02472
700	2.02121
701	2.0174
702	2.01327
703	2.00884
704	2.0041
705	1.99905
706	1.9937
707	1.98805
708	1.98211
709	1.97588
710	1.96937
711	1.96261
712	1.9556
713	1.94838
714	1.94097
715	1.9334
716	1.92571
717	1.91794
718	1.91014
719	1.90235
720	1.89465
721	1.88708
722	1.87972
723	1.87262
724	1.86585
725	1.85947
726	1.85356
727	1.84816
728	1.84333
729	1.83912
730	1.83556
731	1.83269
732	1.83051
733	1.82905
734	1.82829
735	1.82821
736	1.8288
737	1.83002
738	1.83182
739	1.83415
740	1.83696
741	1.84019
742	1.84376
743	1.84763
744	1.85173
745	1.85598
746	1.86035
747	1.86477
748	1.86919
749	1.87357
750	1.87787
751	1.88205
752	1.88609
753	1.88995
754	1.89363
755	1.89711
756	1.90036
757	1.9034
758	1.90621
759	1.90879
760	1.91115
761	1.91329
762	1.91521
763	1.91692
764	1.91842
765	1.91973
766	1.92086
767	1.92181
768	1.9226
769	1.92322
770	1.9237
771	1.92405
772	1.92426
773	1.92436
774	1.92435
775	1.92423
776	1.92403
777	1.92373
778	1.92336
779	1.92292
780	1.92241
781	1.92184
782	1.92122
783	1.92055
784	1.91983
785	1.91908
786	1.9183
787	1.91748
788	1.91664
789	1.91577
790	1.91489
791	1.91399
792	1.91307
793	1.91214
794	1.9112
795	1.91026
796	1.9093
797	1.90835
798	1.90739
799	1.90643
800	1.90548
801	1.90452
802	1.90357
803	1.90262
804	1.90168
805	1.90074
806	1.89981
807	1.89889
808	1.89797
809	1.89706
810	1.89616
811	1.89527
812	1.89439
813	1.89352
814	1.89266
815	1.89181
816	1.89097
817	1.89014
818	1.88932
819	1.88852
820	1.88772
821	1.88694
822	1.88617
823	1.8854
824	1.88465
825	1.88392
826	1.88319
827	1.88247
828	1.88177
829	1.88107
830	1.88039
831	1.87972
832	1.87906
833	1.87841
834	1.87777
835	1.87715
836	1.87653
837	1.87592
838	1.87533
839	1.87474
840	1.87417
841	1.87361
842	1.87305
843	1.87251
844	1.87197
845	1.87145
846	1.87093
847	1.87043
848	1.86993
849	1.86944
850	1.86897
851	1.8685
852	1.86804
853	1.86759
854	1.86714
855	1.86671
856	1.86628
857	1.86587
858	1.86546
859	1.86505
860	1.86466
861	1.86428
862	1.8639
863	1.86353
864	1.86317
865	1.86281
866	1.86246
867	1.86212
868	1.86179
869	1.86146
870	1.86114
871	1.86083
872	1.86052
873	1.86022
874	1.85993
875	1.85964
876	1.85936
877	1.85908
878	1.85881
879	1.85855
880	1.85829
881	1.85804
882	1.8578
883	1.85756
884	1.85732
885	1.85709
886	1.85687
887	1.85665
888	1.85644
889	1.85623
890	1.85603
891	1.85583
892	1.85564
893	1.85545
894	1.85527
895	1.85509
896	1.85491
897	1.85474
898	1.85458
899	1.85442
900	1.85426
901	1.85411
902	1.85396
903	1.85382
904	1.85368
905	1.85354
906	1.85341
907	1.85329
908	1.85316
909	1.85304
910	1.85293
