walk_id	step	x	y	z
3	52	6	-5	-7
4	52	-5	-4	5
5	52	2	-6	4
6	52	7	3	8
7	52	8	6	0
8	52	-3	2	-1
9	52	-3	-2	3
0	53	0	-2	1
1	53	-2	-7	2
2	53	5	-6	-2
3	53	5	-5	-7
4	53	-5	-5	5
5	53	1	-6	4
6	53	7	2	8
7	53	8	6	-1
8	53	-4	2	-1
9	53	-3	-3	3
0	54	1	-2	1
1	54	-3	-7	2
2	54	4	-6	-2
3	54	5	-4	-7
4	54	-5	-6	5
5	54	1	-7	4
6	54	7	3	8
7	54	8	6	-2
8	54	-4	2	-2
9	54	-3	-3	4
0	55	1	-2	2
1	55	-3	-7	3
2	55	4	-7	-2
3	55	5	-3	-7
4	55	-4	-6	5
5	55	0	-7	4
6	55	6	3	8
7	55	8	6	-1
8	55	-4	2	-3
9	55	-3	-4	4
0	56	2	-2	2
1	56	-3	-7	2
2	56	4	-7	-3
3	56	5	-2	-7
4	56	-4	-5	5
5	56	-1	-7	4
6	56	7	3	8
7	56	8	6	0
8	56	-4	2	-4
9	56	-3	-3	4
0	57	2	-2	1
1	57	-3	-7	1
2	57	3	-7	-3
3	57	4	-2	-7
4	57	-5	-5	5
5	57	-2	-7	4
6	57	6	3	8
7	57	8	5	0
8	57	-4	1	-4
9	57	-3	-4	4
0	58	3	-2	1
1	58	-3	-7	2
2	58	3	-7	-2
3	58	4	-2	-6
4	58	-5	-6	5
5	58	-2	-8	4
6	58	5	3	8
7	58	7	5	0
8	58	-3	1	-4
9	58	-3	-4	5
0	59	3	-1	1
1	59	-3	-6	2
2	59	2	-7	-2
3	59	4	-2	-7
4	59	-5	-6	6
5	59	-2	-7	4
6	59	5	2	8
7	59	6	5	0
8	59	-3	1	-3
9	59	-3	-4	6
0	60	3	-1	2
1	60	-3	-6	1
2	60	2	-6	-2
3	60	4	-3	-7
4	60	-4	-6	6
5	60	-2	-7	3
6	60	5	2	9
7	60	6	4	0
8	60	-3	0	-3
9	60	-2	-4	6
0	61	3	-1	1
1	61	-3	-5	1
2	61	2	-7	-2
3	61	4	-2	-7
4	61	-4	-7	6
5	61	-1	-7	3
6	61	4	2	9
7	61	7	4	0
8	61	-3	0	-4
9	61	-2	-4	7
0	62	3	-2	1
1	62	-3	-5	0
2	62	2	-7	-3
3	62	5	-2	-7
4	62	-3	-7	6
5	62	-1	-8	3
6	62	4	1	9
7	62	7	4	1
8	62	-3	0	-3
9	62	-2	-4	6
0	63	3	-3	1
1	63	-3	-4	0
2	63	2	-7	-4
3	63	5	-2	-6
4	63	-4	-7	6
5	63	-2	-8	3
6	63	5	1	9
7	63	7	3	1
8	63	-3	1	-3
9	63	-2	-4	5
0	64	3	-3	2
1	64	-3	-5	0
2	64	1	-7	-4
3	64	5	-1	-6
4	64	-5	-7	6
5	64	-2	-7	3
6	64	6	1	9
7	64	7	2	1
8	64	-2	1	-3
9	64	-2	-5	5
0	65	2	-3	2
1	65	-3	-6	0
2	65	1	-7	-3
3	65	5	0	-6
4	65	-5	-7	5
5	65	-2	-8	3
6	65	6	1	10
7	65	8	2	1
8	65	-2	1	-4
9	65	-3	-5	5
0	66	2	-3	1
1	66	-3	-6	1
2	66	2	-7	-3
3	66	4	0	-6
4	66	-4	-7	5
5	66	-3	-8	3
6	66	7	1	10
7	66	7	2	1
8	66	-3	1	-4
9	66	-2	-5	5
0	67	3	-3	1
1	67	-3	-7	1
