walk_id	step	x	y	z
3	20	4.37508	1.38647	1.53448
4	20	3.34805	0.496461	0.336483
5	20	0.377174	1.24016	-2.31707
6	20	-0.099384	-3.16898	-3.63369
7	20	-0.494142	1.07193	-4.07323
8	20	-5.46863	2.3799	-0.00365903
9	20	-1.94631	-0.807564	2.22746
0	21	-1.56581	-0.705848	3.05782
1	21	-0.64644	3.26216	1.20344
2	21	-2.34592	1.28993	0.666764
3	21	4.67734	1.78076	0.666629
4	21	4.23764	0.924847	0.17798
5	21	1.12053	1.22589	-1.64832
6	21	-0.0522048	-3.19397	-4.63227
7	21	-0.0260551	0.410186	-4.65888
8	21	-5.32668	1.42557	0.259221
9	21	-2.07271	-1.18859	3.14334
0	22	-1.36581	0.159543	2.59837
1	22	0.35016	3.19039	1.16297
2	22	-2.26912	0.370684	1.05287
3	22	4.02396	1.62184	1.40679
4	22	4.12401	1.19827	1.13314
5	22	1.23643	1.29681	-2.63905
6	22	0.29896	-3.60724	-5.47244
7	22	-0.578866	-0.23138	-5.19067
8	22	-6.16956	1.94931	0.135728
9	22	-1.70158	-0.31258	3.45133
0	23	-0.67499	0.649704	2.06684
1	23	0.0612856	2.48319	0.517667
2	23	-2.38705	1.0258	0.306609
3	23	4.39926	1.21412	0.574372
4	23	3.70696	1.3096	0.231102
5	23	1.52314	1.38708	-3.5928
6	23	0.193616	-3.73235	-6.45897
7	23	-0.575758	-0.208319	-6.1904
8	23	-6.12038	1.84263	1.1288
9	23	-1.9166	-0.173866	4.41804
0	24	-0.832634	0.313944	2.99551
1	24	0.102411	1.86208	1.30032
2	24	-1.943	0.33484	0.877039
3	24	5.23611	0.762886	0.88433
4	24	4.70664	1.32015	0.254368
5	24	2.36192	1.86249	-3.8582
6	24	0.636384	-3.0103	-6.99058
7	24	-0.546151	0.449213	-6.94324
8	24	-6.30408	2.21333	0.218402
9	24	-2.02698	-0.0974369	3.42709
0	25	-0.312492	-0.505614	2.75513
1	25	0.505402	2.01089	2.20334
2	25	-2.056	1.12572	0.275584
3	25	4.4889	0.815191	1.54686
4	25	4.56782	0.840439	-0.612005
5	25	3.19745	1.41308	-3.54209
6	25	0.714201	-2.9189	-7.98335
7	25	-1.15229	1.24045	-7.02411
8	25	-6.55584	2.09422	1.17884
9	25	-1.82505	-0.959462	2.96219
0	26	-0.470497	-0.458098	3.74143
1	26	-0.308498	2.08802	2.7792
2	26	-3.03501	1.02437	0.0987912
3	26	3.94828	0.647492	0.722475
4	26	4.40219	0.750297	0.370056
5	26	2.55969	0.880182	-2.98597
6	26	0.100362	-3.68249	-8.18366
7	26	-1.40423	0.755901	-7.86181
8	26	-6.6148	1.89056	2.1561
9	26	-1.89604	-1.80065	3.49825
0	27	0.189059	-0.582768	3.00018
1	27	-0.235724	2.25624	3.76226
2	27	-3.75691	1.55046	0.548339
