T_SIGN	BLOCK	ACTUAL_T	T_AVE	ERROR
1	291	1.07055	1.11051	0.00328501
1	292	1.06708	1.11036	0.00327713
1	293	1.06375	1.1102	0.0032698
1	294	1.06057	1.11003	0.00326303
1	295	1.05757	1.10986	0.00325682
1	296	1.05474	1.10967	0.00325113
1	297	1.0521	1.10948	0.00324596
1	298	1.04964	1.10928	0.00324127
1	299	1.04738	1.10907	0.00323703
1	300	1.04532	1.10886	0.00323321
1	301	1.04346	1.10864	0.00322976
1	302	1.04181	1.10842	0.00322664
1	303	1.04037	1.10819	0.0032238
1	304	1.03913	1.10797	0.00322118
1	305	1.03811	1.10774	0.00321876
1	306	1.0373	1.10751	0.00321646
1	307	1.03671	1.10728	0.00321424
1	308	1.03634	1.10705	0.00321204
1	309	1.0362	1.10682	0.00320982
1	310	1.03629	1.10659	0.00320752
1	311	1.03663	1.10636	0.00320509
1	312	1.03722	1.10614	0.00320247
1	313	1.03807	1.10593	0.00319961
1	314	1.03919	1.10571	0.00319647
1	315	1.0406	1.10551	0.003193
1	316	1.0423	1.10531	0.00318915
1	317	1.04431	1.10511	0.00318489
1	318	1.04662	1.10493	0.00318019
1	319	1.04925	1.10475	0.003175
1	320	1.05221	1.10459	0.00316932
1	321	1.05548	1.10444	0.00316314
1	322	1.05908	1.1043	0.00315645
1	323	1.06299	1.10417	0.00314927
1	324	1.06719	1.10405	0.00314162
1	325	1.07169	1.10396	0.00313353
1	326	1.07646	1.10387	0.00312505
1	327	1.08147	1.1038	0.00311625
1	328	1.08671	1.10375	0.00310718
1	329	1.09214	1.10372	0.00309794
1	330	1.09773	1.1037	0.0030886
1	331	1.10345	1.1037	0.00307927
1	332	1.10926	1.10371	0.00307004
1	333	1.11512	1.10375	0.00306101
1	334	1.12101	1.1038	0.00305229
1	335	1.12689	1.10387	0.00304395
1	336	1.13271	1.10395	0.0030361
1	337	1.13845	1.10406	0.00302882
1	338	1.14407	1.10417	0.00302217
1	339	1.14955	1.10431	0.00301622
1	340	1.15487	1.10446	0.00301101
1	341	1.15998	1.10462	0.00300658
1	342	1.16489	1.1048	0.00300295
1	343	1.16956	1.10498	0.00300012
1	344	1.17398	1.10519	0.0029981
1	345	1.17813	1.1054	0.00299685
1	346	1.18201	1.10562	0.00299636
1	347	1.18562	1.10585	0.00299658
1	348	1.18893	1.10609	0.00299747
1	349	1.19195	1.10633	0.00299896
1	350	1.19468	1.10659	0.00300099
1	351	1.19712	1.10684	0.00300351
1	352	1.19926	1.10711	0.00300643
1	353	1.20112	1.10737	0.00300968
1	354	1.2027	1.10764	0.00301321
1	355	1.204	1.10791	0.00301692
1	356	1.20504	1.10819	0.00302075
1	357	1.20582	1.10846	0.00302465
1	358	1.20635	1.10873	0.00302853
1	359	1.20665	1.10901	0.00303235
1	360	1.20672	1.10928	0.00303605
1	361	1.20659	1.10955	0.00303959
1	362	1.20626	1.10981	0.00304291
1	363	1.20574	1.11008	0.00304598
1	364	1.20506	1.11034	0.00304877
1	365	1.20423	1.1106	0.00305125
1	366	1.20325	1.11085	0.0030534
1	367	1.20215	1.1111	0.00305519
1	368	1.20095	1.11134	0.00305663
1	369	1.19965	1.11158	0.0030577
1	370	1.19827	1.11182	0.0030584
1	371	1.19683	1.11205	0.00305873
1	372	1.19535	1.11227	0.0030587
1	373	1.19384	1.11249	0.0030583
1	374	1.19231	1.1127	0.00305756
1	375	1.19079	1.11291	0.00305649
1	376	1.18928	1.11311	0.00305511
1	377	1.18781	1.11331	0.00305342
1	378	1.18639	1.1135	0.00305146
1	379	1.18503	1.11369	0.00304924
1	380	1.18375	1.11388	0.00304678
1	381	1.18256	1.11406	0.00304411
1	382	1.18147	1.11423	0.00304125
