x	y	z	r
1.30324	-1.72002	2.32378	3.17125
2.41289	-2.00265	4.2899	5.31375
2.41289	-2.00265	4.2899	5.31375
2.41289	-2.00265	4.2899	5.31375
3.80458	1.85565	5.81094	7.18925
3.80458	1.85565	5.81094	7.18925
4.0858	0.481063	7.29494	8.37504
3.75563	-0.213718	5.75914	6.87882
1.19762	1.17155	6.39062	6.60657
1.29214	-0.466425	4.11254	4.33591
3.68479	-1.31588	3.0951	4.98887
3.68479	-1.31588	3.0951	4.98887
4.2441	-2.02405	3.51615	5.87132
1.53734	0.0594554	3.2446	3.59088
1.53734	0.0594554	3.2446	3.59088
-0.194687	2.12438	2.31367	3.14706
-0.917626	1.84952	3.58442	4.13652
-1.69755	-0.906772	2.20413	2.92611
0.0121924	-0.846599	1.96439	2.13909
0.0121924	-0.846599	1.96439	2.13909
0.0121924	-0.846599	1.96439	2.13909
0.49411	-1.0806	1.83467	2.18583
0.49411	-1.0806	1.83467	2.18583
0.49411	-1.0806	1.83467	2.18583
0.49411	-1.0806	1.83467	2.18583
0.49411	-1.0806	1.83467	2.18583
-0.314083	-0.684771	2.02549	2.16106
-0.314083	-0.684771	2.02549	2.16106
-0.314083	-0.684771	2.02549	2.16106
-0.314083	-0.684771	2.02549	2.16106
-0.314083	-0.684771	2.02549	2.16106
-0.314083	-0.684771	2.02549	2.16106
-0.314083	-0.684771	2.02549	2.16106
-0.616647	0.844137	0.617655	1.21422
-1.0172	-0.181905	-0.645095	1.21817
-1.0172	-0.181905	-0.645095	1.21817
-0.757368	-1.55994	2.51351	3.05364
0.0438344	-1.20435	3.33028	3.54163
0.0438344	-1.20435	3.33028	3.54163
0.0438344	-1.20435	3.33028	3.54163
0.0438344	-1.20435	3.33028	3.54163
0.0438344	-1.20435	3.33028	3.54163
-2.33498	-0.796842	3.76702	4.50306
-2.33498	-0.796842	3.76702	4.50306
-2.33498	-0.796842	3.76702	4.50306
-2.33498	-0.796842	3.76702	4.50306
-2.33498	-0.796842	3.76702	4.50306
-2.33498	-0.796842	3.76702	4.50306
-2.33498	-0.796842	3.76702	4.50306
-2.33498	-0.796842	3.76702	4.50306
-2.62566	1.66733	4.36025	5.35592
-2.62566	1.66733	4.36025	5.35592
-1.04245	-0.809782	3.99829	4.21056
-2.13709	-0.674315	7.02302	7.37188
0.14272	3.87395	6.59513	7.65007
-0.97498	3.65778	7.54126	8.43804
0.274967	1.34528	7.28124	7.40958
-2.39489	3.79696	5.18687	6.85974
-3.03834	1.88222	3.46414	4.9774
-5.89434	1.74272	3.9947	7.33062
-5.89434	1.74272	3.9947	7.33062
-5.88798	-1.26684	3.40517	6.91869
-2.45761	-5.10186	3.58342	6.70147
-1.98054	-3.93136	5.267	6.86435
-0.293522	-4.50739	2.44807	5.13768
-0.293522	-4.50739	2.44807	5.13768
-2.25466	-2.26178	2.89229	4.30865
-2.25466	-2.26178	2.89229	4.30865
-0.204508	-2.39199	2.73694	3.64064
-0.822361	-1.40365	4.07427	4.38705
-1.82468	-1.20242	4.20127	4.7356
-1.82468	-1.20242	4.20127	4.7356
-3.16244	-2.46171	5.10857	6.49296
-3.8317	-6.23703	3.56127	8.14034
-3.8317	-6.23703	3.56127	8.14034
-1.70869	-5.3491	4.91596	7.46319
-3.68677	-2.22208	3.45548	5.51999
-0.328647	-0.322767	5.12119	5.14186
-0.328647	-0.322767	5.12119	5.14186
0.187827	2.41749	3.68032	4.4073
0.261631	1.69288	5.35439	5.62172
-1.70496	1.88467	5.06686	5.66851
-1.70496	1.88467	5.06686	5.66851
-1.08509	2.01086	4.66758	5.19685
-1.08509	2.01086	4.66758	5.19685
-1.08509	2.01086	4.66758	5.19685
-1.08509	2.01086	4.66758	5.19685
-1.10538	1.59585	4.69065	5.0765
-1.10538	1.59585	4.69065	5.0765
-0.63103	2.33986	4.83161	5.40533
-0.63103	2.33986	4.83161	5.40533
-0.63103	2.33986	4.83161	5.40533
0.794971	1.36357	5.0895	5.32863
0.794971	1.36357	5.0895	5.32863
0.794971	1.36357	5.0895	5.32863
