x	y	z	r
-0.267643	1.01642	-3.35551	3.51628
0.851328	-1.35763	-3.03025	3.42788
0.851328	-1.35763	-3.03025	3.42788
0.851328	-1.35763	-3.03025	3.42788
0.851328	-1.35763	-3.03025	3.42788
0.851328	-1.35763	-3.03025	3.42788
-0.137868	-1.71114	-2.00773	2.64159
-0.137868	-1.71114	-2.00773	2.64159
1.32253	-0.35258	-4.23821	4.45375
2.62333	0.513758	-2.89178	3.93804
2.62333	0.513758	-2.89178	3.93804
2.62333	0.513758	-2.89178	3.93804
0.0975559	-2.16219	-1.77423	2.79866
0.0975559	-2.16219	-1.77423	2.79866
0.0975559	-2.16219	-1.77423	2.79866
1.83476	-2.66031	-1.97373	3.78671
1.83476	-2.66031	-1.97373	3.78671
-0.609641	-0.439638	-1.04602	1.28806
-0.609641	-0.439638	-1.04602	1.28806
-0.609641	-0.439638	-1.04602	1.28806
-0.609641	-0.439638	-1.04602	1.28806
-0.609641	-0.439638	-1.04602	1.28806
-0.609641	-0.439638	-1.04602	1.28806
-0.609641	-0.439638	-1.04602	1.28806
-0.609641	-0.439638	-1.04602	1.28806
-0.609641	-0.439638	-1.04602	1.28806
2.05362	1.10653	1.47754	2.76132
2.80611	0.0946475	3.48202	4.473
2.80611	0.0946475	3.48202	4.473
2.80611	0.0946475	3.48202	4.473
1.3733	-1.01088	3.54702	3.93562
1.3733	-1.01088	3.54702	3.93562
-0.145604	1.81358	6.2256	6.48601
-0.145604	1.81358	6.2256	6.48601
0.946414	1.65855	4.36241	4.76204
0.946414	1.65855	4.36241	4.76204
0.946414	1.65855	4.36241	4.76204
0.946414	1.65855	4.36241	4.76204
0.946414	1.65855	4.36241	4.76204
0.946414	1.65855	4.36241	4.76204
2.13647	0.240414	4.37562	4.87528
3.81665	-1.62489	3.52891	5.44612
4.11523	0.968354	3.18534	5.29332
1.39302	0.912824	4.36551	4.67241
1.39302	0.912824	4.36551	4.67241
2.18857	0.512882	5.08898	5.56333
0.776941	1.89555	2.61754	3.32389
-1.10298	1.8835	4.44797	4.95465
-0.312907	4.17419	3.39325	5.38849
-0.312907	4.17419	3.39325	5.38849
-0.312907	4.17419	3.39325	5.38849
-0.312907	4.17419	3.39325	5.38849
0.343749	3.23958	2.86557	4.33872
0.343749	3.23958	2.86557	4.33872
-0.397808	1.98973	5.50198	5.86422
-2.94296	2.01981	3.57326	5.05063
-2.94296	2.01981	3.57326	5.05063
-2.94296	2.01981	3.57326	5.05063
-1.21404	0.496781	4.85819	5.03216
-2.99753	-0.445875	2.80285	4.12795
-1.39552	-2.42919	3.4255	4.42521
-1.2372	-1.77631	2.85955	3.5865
0.409801	-2.612	4.98382	5.64171
0.409801	-2.612	4.98382	5.64171
0.409801	-2.612	4.98382	5.64171
0.409801	-2.612	4.98382	5.64171
-0.873199	0.168465	4.56451	4.65033
-0.873199	0.168465	4.56451	4.65033
-0.873199	0.168465	4.56451	4.65033
-0.557621	2.29027	3.14596	3.93107
-0.557621	2.29027	3.14596	3.93107
-0.120668	1.53745	2.62262	3.04244
0.0216065	-0.343864	2.2854	2.31122
1.84585	0.48261	5.03639	5.38566
1.84585	0.48261	5.03639	5.38566
1.84585	0.48261	5.03639	5.38566
-0.393448	-0.10358	4.35962	4.37856
2.03899	-2.46659	4.14345	5.23543
2.03899	-2.46659	4.14345	5.23543
2.03899	-2.46659	4.14345	5.23543
2.03899	-2.46659	4.14345	5.23543
3.71402	-1.5995	2.19535	4.60129
3.9065	-1.03421	4.86389	6.32358
3.29018	-3.58244	2.48239	5.4609
3.29018	-3.58244	2.48239	5.4609
3.29018	-3.58244	2.48239	5.4609
3.29018	-3.58244	2.48239	5.4609
3.29018	-3.58244	2.48239	5.4609
3.29018	-3.58244	2.48239	5.4609
4.80325	-2.1328	2.87438	5.99017
4.80325	-2.1328	2.87438	5.99017
4.71212	-1.20613	3.61217	6.0586
2.00266	-3.94139	2.33672	5.00055
2.00266	-3.94139	2.33672	5.00055
-0.067109	-5.01271	4.18752	6.532
