L	block_ave	err
244	-5.459671924709365	0.0008630454258621188
249	-5.459680572469166	0.0008594620570061141
254	-5.459681207929223	0.0008740846716897247
259	-5.459681129013548	0.0008648128068054786
264	-5.459687506763343	0.0008641987218706959
269	-5.459684245201107	0.0008712073660181636
274	-5.459686227289829	0.0008598827515856552
279	-5.459673395677329	0.0008852000735424154
284	-5.459680285611393	0.0008821947392076606
289	-5.459673816008963	0.0008801464151676243
294	-5.459684415486188	0.0008750293777467987
299	-5.459674622025566	0.0008838815939009836
304	-5.459686227289825	0.0008770505104839078
309	-5.459672418783822	0.0008780050188498166
314	-5.45968077795426	0.0008813788139747475
319	-5.459681238414562	0.000890995874674207
324	-5.459673987522308	0.0008738274974133114
329	-5.459687511920936	0.0008904165280191821
334	-5.459682763711052	0.0008788609078397374
339	-5.459680606200688	0.0008929790966742593
344	-5.459681023563912	0.0008893416169179648
349	-5.459686783867718	0.0008738506686428652
354	-5.459680038131595	0.0008932254746731979
359	-5.459685732518487	0.0008870113903583024
364	-5.459686511269137	0.0009053259305558292
369	-5.459681663516639	0.0008790387539743704
374	-5.4596832805645406	0.0008911384114782227
379	-5.4596790741366785	0.000902662106594164
384	-5.4596733956773225	0.000875178716396115
389	-5.45968084974943	0.0008869049083543121
394	-5.459678453796703	0.0009066652953120864
399	-5.4596720980623905	0.0008939861346083855
404	-5.4596874877738335	0.0009052191169526961
409	-5.459684581570952	0.0009073949566285512
414	-5.459681041829263	0.0008897055199894433
419	-5.459680971618453	0.0009055837256212376
424	-5.459679822343051	0.0009031655669471228
429	-5.45968557615774	0.0009034880262384302
434	-5.459673395677333	0.0009045547714836687
439	-5.459693466978393	0.0008923650310653881
444	-5.459672361664512	0.0008993785863341769
449	-5.459686847141597	0.0009031988223917064
454	-5.459680188995184	0.0009071080926057845
459	-5.459680084085054	0.0009051451439959891
464	-5.4596857325184995	0.0008997165508144079
469	-5.459671873152328	0.000923087453014697
474	-5.459692899142505	0.0008946910749155413
479	-5.459692823195489	0.0009016340215522265
484	-5.459674277579536	0.0009135488727722279
489	-5.45968734573533	0.0009221183897553224
494	-5.459674622025579	0.0009138316807121637
499	-5.459682763711058	0.0009079178315191222
504	-5.459673395677321	0.0009185909093068031
509	-5.4596804312397245	0.0009110501543702336
513	-5.459683640200778	0.0009120401416942856
518	-5.45968112901354	0.0009069648586181571
523	-5.459679146579523	0.0009065096850919164
528	-5.459680424955158	0.0009113073279428683
533	-5.459671873152331	0.0009087583886845588
538	-5.459684245201102	0.0009244434689849895
543	-5.459690888421809	0.0009003003294763997
548	-5.45968622728983	0.0009200598969984907
553	-5.4596772680991865	0.0009142065250837326
558	-5.459673395677325	0.0009308772809815312
563	-5.4596723616645075	0.0009244416706833741
568	-5.459680285611396	0.0009307594532403964
573	-5.459684709920422	0.000920340907749104
578	-5.45967381600896	0.0009092794433101819
583	-5.459688558996533	0.0009172500515089352
588	-5.459684415486198	0.0009051961843010284
593	-5.459679382095189	0.0009193106211237437
598	-5.459674622025571	0.0009235775125706411
603	-5.459680866755892	0.0009230022925266397
608	-5.459686227289828	0.0009285493099574675
613	-5.459692971206678	0.0009190265456163015
618	-5.459672418783825	0.0009279714307703713
623	-5.459686332443374	0.0009443420083319168
628	-5.459680777954271	0.0009285417329715672
633	-5.4596883392700155	0.0009258322022631626
638	-5.459689404668957	0.0009280298555805158
643	-5.459691421565981	0.0009189629134205859
648	-5.459691777993947	0.0009187006413072744
653	-5.459686807875172	0.0009012081253122706
658	-5.459688836935496	0.0009118196431714274
663	-5.459678917007737	0.0009103969645635327
668	-5.459683280564535	0.0009327721939613577
673	-5.459686104340305	0.0009017895804699005
678	-5.459680606200696	0.0009190215573189929
683	-5.4596719247093715	0.0009340492154658443
688	-5.459680424955152	0.0009298828631917072
693	-5.459685218281487	0.0009150067430663316
698	-5.459686783867718	0.0009079616794539542
703	-5.459680912984934	0.0009337471667455247
708	-5.459680038131595	0.0009146065536380246
713	-5.4596832012572785	0.000917892869636264
718	-5.459685732518488	0.0009393047923239856
723	-5.459693102725619	0.0009141372854452325
728	-5.459689763399867	0.0009446381377460867
733	-5.45967827005477	0.000916461907553885
738	-5.459689303899315	0.0009211260084794886
743	-5.459673779842018	0.0009235208918011706
748	-5.459683280564539	0.0009357592159055157
753	-5.459680572469162	0.0009153235319490291
758	-5.4596806569480485	0.0009106448233624505
763	-5.459686979720467	0.0009448644466821646
768	-5.4596733956773145	0.0009254789876380275
773	-5.459684447009964	0.0009310938123097361
778	-5.459683119609352	0.0009201895917235396
783	-5.459689404668964	0.0009296529774408739
788	-5.459693162200357	0.0009175667122115303
793	-5.459693268640282	0.000963186301514277
798	-5.459687704885221	0.0009241517251236329
803	-5.459685442832942	0.0009275123683068156
808	-5.45968179892019	0.0009304420680877202
