T_SIGN	BLOCK	ACTUAL_PE	PE_AVE	ERROR
1	324	-6.0351	-5.97527	0.00250665
1	325	-6.03399	-5.97545	0.00250544
1	326	-6.03299	-5.97562	0.00250396
1	327	-6.03194	-5.9758	0.00250222
1	328	-6.03083	-5.97596	0.00250021
1	329	-6.03012	-5.97613	0.00249803
1	330	-6.02906	-5.97629	0.0024956
1	331	-6.0278	-5.97644	0.00249291
1	332	-6.02678	-5.9766	0.00249001
1	333	-6.02512	-5.97674	0.00248679
1	334	-6.0234	-5.97688	0.00248326
1	335	-6.02164	-5.97701	0.00247944
1	336	-6.02013	-5.97714	0.00247538
1	337	-6.01858	-5.97727	0.00247109
1	338	-6.01728	-5.97738	0.00246661
1	339	-6.01579	-5.9775	0.00246194
1	340	-6.01412	-5.97761	0.00245705
1	341	-6.0124	-5.97771	0.00245196
1	342	-6.0105	-5.9778	0.00244667
1	343	-6.00886	-5.97789	0.00244121
1	344	-6.00705	-5.97798	0.00243558
1	345	-6.0049	-5.97806	0.00242977
1	346	-6.00363	-5.97813	0.00242387
1	347	-6.00219	-5.9782	0.00241788
1	348	-5.99982	-5.97826	0.00241173
1	349	-5.99774	-5.97832	0.00240547
1	350	-5.99594	-5.97837	0.00239912
1	351	-5.99414	-5.97841	0.0023927
1	352	-5.99202	-5.97845	0.00238622
1	353	-5.9902	-5.97848	0.00237969
1	354	-5.98792	-5.97851	0.00237312
1	355	-5.98594	-5.97853	0.00236653
1	356	-5.98367	-5.97855	0.00235992
1	357	-5.98155	-5.97856	0.00235333
1	358	-5.97914	-5.97856	0.00234675
1	359	-5.9772	-5.97855	0.00234022
1	360	-5.97512	-5.97854	0.00233374
1	361	-5.97306	-5.97853	0.00232732
1	362	-5.97102	-5.97851	0.00232099
1	363	-5.96915	-5.97848	0.00231474
1	364	-5.9676	-5.97845	0.00230857
1	365	-5.96593	-5.97842	0.0023025
1	366	-5.96352	-5.97838	0.00229657
1	367	-5.96175	-5.97833	0.00229076
1	368	-5.95986	-5.97828	0.00228508
1	369	-5.95829	-5.97823	0.00227953
1	370	-5.95691	-5.97817	0.0022741
1	371	-5.95495	-5.97811	0.00226883
1	372	-5.95316	-5.97804	0.00226372
1	373	-5.95155	-5.97797	0.00225877
1	374	-5.94997	-5.97789	0.00225397
1	375	-5.94856	-5.97782	0.00224932
1	376	-5.94671	-5.97773	0.00224485
1	377	-5.94564	-5.97765	0.00224051
1	378	-5.94383	-5.97756	0.00223637
1	379	-5.94217	-5.97747	0.00223242
1	380	-5.94053	-5.97737	0.00222866
1	381	-5.93889	-5.97727	0.0022251
1	382	-5.93694	-5.97716	0.00222177
1	383	-5.9353	-5.97705	0.00221866
1	384	-5.93364	-5.97694	0.00221576
1	385	-5.93197	-5.97682	0.00221308
1	386	-5.93073	-5.9767	0.00221057
1	387	-5.92932	-5.97658	0.00220824
1	388	-5.92803	-5.97646	0.00220609
1	389	-5.92596	-5.97633	0.00220424
1	390	-5.92475	-5.97619	0.00220255
1	391	-5.9232	-5.97606	0.00220108
1	392	-5.92116	-5.97592	0.00219992
1	393	-5.91936	-5.97577	0.00219902
1	394	-5.91737	-5.97563	0.00219843
1	395	-5.91578	-5.97547	0.00219808
1	396	-5.91383	-5.97532	0.00219804
1	397	-5.91198	-5.97516	0.00219828
1	398	-5.90976	-5.97499	0.00219889
1	399	-5.90795	-5.97483	0.00219979
1	400	-5.90593	-5.97465	0.00220102
1	401	-5.904	-5.97448	0.00220258
1	402	-5.90172	-5.9743	0.00220452
1	403	-5.89925	-5.97411	0.0022069
1	404	-5.89673	-5.97392	0.00220974
1	405	-5.89417	-5.97372	0.00221304
1	406	-5.89173	-5.97352	0.00221678
1	407	-5.88911	-5.97331	0.00222101
1	408	-5.88662	-5.9731	0.00222571
1	409	-5.88396	-5.97288	0.00223091
1	410	-5.88176	-5.97266	0.00223652
1	411	-5.87925	-5.97243	0.00224259
1	412	-5.87675	-5.9722	0.00224914
1	413	-5.87473	-5.97196	0.00225605
1	414	-5.87274	-5.97173	0.00226329
1	415	-5.87034	-5.97148	0.00227098
1	416	-5.86815	-5.97123	0.00227907
1	417	-5.86601	-5.97098	0.00228753
1	418	-5.8638	-5.97072	0.00229638
1	419	-5.86152	-5.97046	0.00230564
1	420	-5.85933	-5.9702	0.00231528
1	421	-5.85771	-5.96993	0.00232515
1	422	-5.85604	-5.96966	0.00233525
1	423	-5.8545	-5.96939	0.00234555
1	424	-5.8531	-5.96911	0.00235599
1	425	-5.85168	-5.96884	0.0023666
1	426	-5.85057	-5.96856	0.00237727
1	427	-5.84977	-5.96828	0.00238793
1	428	-5.84898	-5.968	0.00239856
1	429	-5.84821	-5.96772	0.00240917
1	430	-5.84746	-5.96745	0.00241975
1	431	-5.8469	-5.96717	0.00243024
1	432	-5.84666	-5.96689	0.00244057
1	433	-5.84676	-5.96661	0.00245065
1	434	-5.8472	-5.96633	0.0024604
1	435	-5.84782	-5.96606	0.00246978
1	436	-5.84817	-5.96579	0.00247888
1	437	-5.84885	-5.96552	0.0024876
1	438	-5.8497	-5.96526	0.00249594
1	439	-5.85088	-5.965	0.00250382
1	440	-5.85206	-5.96474	0.00251125
1	441	-5.85311	-5.96449	0.00251828
1	442	-5.85461	-5.96424	0.00252482
1	443	-5.85655	-5.964	0.0025308
1	444	-5.85832	-5.96376	0.00253627
1	445	-5.86022	-5.96353	0.00254122
1	446	-5.86239	-5.9633	0.00254562
1	447	-5.86451	-5.96308	0.0025495
1	448	-5.86688	-5.96286	0.00255283
1	449	-5.86965	-5.96266	0.00255557
1	450	-5.87204	-5.96245	0.00255782
1	451	-5.87449	-5.96226	0.00255957
1	452	-5.8767	-5.96207	0.0025609
1	453	-5.87912	-5.96189	0.00256178
1	454	-5.88202	-5.96171	0.00256217
1	455	-5.88481	-5.96154	0.00256211
1	456	-5.88731	-5.96138	0.00256166
1	457	-5.89013	-5.96122	0.0025608
1	458	-5.89235	-5.96107	0.00255962
1	459	-5.89502	-5.96093	0.00255808
1	460	-5.89768	-5.96079	0.00255621
1	461	-5.90017	-5.96066	0.00255405
1	462	-5.90249	-5.96053	0.00255162
1	463	-5.90524	-5.96042	0.00254891
1	464	-5.9078	-5.9603	0.00254593
1	465	-5.91033	-5.96019	0.00254272
1	466	-5.91267	-5.96009	0.00253931
1	467	-5.91496	-5.96	0.00253571
1	468	-5.91691	-5.9599	0.00253197
1	469	-5.91926	-5.95982	0.00252805
1	470	-5.92186	-5.95974	0.00252396
1	471	-5.92411	-5.95966	0.00251973
1	472	-5.92601	-5.95959	0.0025154
1	473	-5.92815	-5.95952	0.00251096
1	474	-5.93025	-5.95946	0.00250643
1	475	-5.93199	-5.9594	0.00250182
1	476	-5.93413	-5.95935	0.00249712
1	477	-5.93577	-5.9593	0.00249238
1	478	-5.9375	-5.95925	0.00248758
1	479	-5.93935	-5.95921	0.00248274
1	480	-5.9416	-5.95918	0.00247783
1	481	-5.9432	-5.95914	0.00247291
1	482	-5.9449	-5.95911	0.00246795
1	483	-5.94642	-5.95909	0.00246298
1	484	-5.94805	-5.95906	0.002458
1	485	-5.94979	-5.95905	0.00245301
1	486	-5.95134	-5.95903	0.00244801
1	487	-5.95256	-5.95902	0.00244302
1	488	-5.9542	-5.95901	0.00243803
1	489	-5.95551	-5.959	0.00243306
1	490	-5.95709	-5.959	0.00242809
1	491	-5.9585	-5.95899	0.00242315
