BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000871199
35	0.923387	0.017842
36	0.949037	0.155301
37	0.974686	0.596045
38	1.00034	1.18712
39	1.02599	1.8642
40	1.05164	2.26174
41	1.07728	2.50762
42	1.10293	2.58883
43	1.12858	2.4674
44	1.15423	2.19325
45	1.17988	2.01668
46	1.20553	1.75929
47	1.23118	1.50222
48	1.25683	1.34802
49	1.28248	1.23329
50	1.30813	1.12548
51	1.33378	1.06491
52	1.35943	0.912736
53	1.38508	0.840894
54	1.41073	0.796079
55	1.43638	0.780762
56	1.46203	0.773938
57	1.48768	0.729177
58	1.51333	0.692006
59	1.53898	0.657595
60	1.56463	0.651216
61	1.59028	0.686878
62	1.61593	0.687863
63	1.64158	0.695768
64	1.66723	0.740784
65	1.69288	0.724062
66	1.71853	0.743326
67	1.74418	0.790476
68	1.76983	0.853338
69	1.79547	0.885286
70	1.82112	0.882696
71	1.84677	0.905666
72	1.87242	0.934694
73	1.89807	0.993885
74	1.92372	1.05199
75	1.94937	1.09912
76	1.97502	1.13257
77	2.00067	1.17293
78	2.02632	1.23016
79	2.05197	1.23229
80	2.07762	1.19846
81	2.10327	1.20342
82	2.12892	1.1921
83	2.15457	1.18894
84	2.18022	1.19235
85	2.20587	1.15888
86	2.23152	1.1224
87	2.25717	1.08924
88	2.28282	1.04905
89	2.30847	0.992359
90	2.33412	0.956742
91	2.35977	0.990763
92	2.38542	0.982617
93	2.41107	0.931993
94	2.43672	0.925996
95	2.46237	0.911953
96	2.48802	0.894282
97	2.51366	0.884426
98	2.53931	0.884769
99	2.56496	0.894319

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000550231
35	0.923387	0.0226923
36	0.949037	0.156735
37	0.974686	0.57175
38	1.00034	1.21164
39	1.02599	1.86672
40	1.05164	2.3602
41	1.07728	2.6308
42	1.10293	2.53284
43	1.12858	2.42445
44	1.15423	2.20278
45	1.17988	1.99422
46	1.20553	1.74333
47	1.23118	1.52588
48	1.25683	1.33797
49	1.28248	1.23073
50	1.30813	1.09884
51	1.33378	0.982952
52	1.35943	0.880182
53	1.38508	0.860668
54	1.41073	0.816714
55	1.43638	0.810193
56	1.46203	0.738359
57	1.48768	0.704185
58	1.51333	0.67188
59	1.53898	0.681891
60	1.56463	0.686854
61	1.59028	0.669129
62	1.61593	0.652989
63	1.64158	0.699085
64	1.66723	0.712998
65	1.69288	0.692958
66	1.71853	0.758124
67	1.74418	0.781755
