BLOCK	CHI
381	0.48407382922305897
382	0.482860052402217
383	0.4816560025532802
384	0.4804579749939743
385	0.47927155970406776
386	0.47809663067395947
387	0.4769346321675396
388	0.4757861670922846
389	0.4746540629097835
390	0.4735380365830861
391	0.47243310685572787
392	0.4713342188040931
393	0.47024523995363277
394	0.46917158774789225
395	0.4681196033777238
396	0.4670895979899119
397	0.46607440260745503
398	0.4650637329082891
399	0.46405446288500074
400	0.4630473282397997
401	0.4620447754975579
402	0.461054669595997
403	0.46007103380280345
404	0.4590918005912136
405	0.4581170591372528
406	0.4571532097593556
407	0.45621097102805763
408	0.45529546765690776
409	0.45440347961594396
410	0.4535347228989113
411	0.4526908414464526
412	0.4518678194295094
413	0.4510635825361855
414	0.4502813013619072
415	0.4495236453716098
416	0.4487930669059929
417	0.4480823630623931
418	0.4473887247960091
419	0.44670650009157653
420	0.4460357461380682
421	0.44538126777850684
422	0.4447408084717271
423	0.444110771128268
424	0.44348898547507587
425	0.4428807545777502
426	0.442284592492302
427	0.44169951537453755
428	0.4411270527871541
429	0.4405646302570693
430	0.4400151256497129
431	0.43947646756110265
432	0.43894873741282703
433	0.4384315717156519
434	0.43791723348006595
435	0.43740770202611196
436	0.4369099078818539
437	0.43642421841374446
438	0.43595267206940846
439	0.4354906239410862
440	0.43503261975165664
441	0.43457528922894095
442	0.43412038390639535
443	0.4336707186446488
444	0.43323027534709807
445	0.4327994940780426
446	0.4323731783953914
447	0.4319527134354526
448	0.43153414734327283
449	0.43112141937284537
450	0.4307090607074798
451	0.43029659735721476
452	0.4298839314222833
453	0.4294731779253756
454	0.42906381053408066
455	0.4286472751350889
456	0.4282240059768719
457	0.4277903545968238
458	0.4273456754380648
459	0.42689683699316283
460	0.4264485946706048
461	0.42600413360538625
462	0.42555574491782994
463	0.42509473491476035
464	0.42462317209224576
465	0.42414890297122004
466	0.42366949750499
467	0.42318445359376033
468	0.42269484038053157
469	0.4222026701417039
470	0.42171210894855254
471	0.4212167109253258
472	0.42071473810883236
473	0.4202063756362553
474	0.4196954067035435
475	0.4191820658824159
476	0.4186699589860751
477	0.4181559619457169
478	0.4176393448749592
479	0.4171217391134846
480	0.41660499894103953
481	0.41609238897559875
482	0.41558639160630506
483	0.4150885780759545
484	0.4145933651899111
485	0.4140950621607253
486	0.41359315331833696
487	0.41309084415313885
488	0.41258768006126206
489	0.4120825570047395
490	0.411577242995206
491	0.4110708617812811
492	0.4105643913913307
493	0.4100548735076415
494	0.4095362373753513
495	0.4090004755689585
496	0.40844635804089496
497	0.40788088801707134
498	0.4073086997428965
499	0.4067300093733017
500	0.4061423190102701
501	0.4055478144357295
502	0.40495028756937024
503	0.40434312872295913
504	0.40371930365283737
505	0.4030758559799008
506	0.40241162544651415
507	0.4017206828162904
508	0.4010031831779695
509	0.40025857693582934
510	0.3994864967234174
511	0.3986943082865739
512	0.3978880106516187
513	0.3970698622983266
514	0.39623917308180495
515	0.3953926929236485
516	0.39453707125358
517	0.39367669805224315
518	0.39282087282820355
519	0.39197531835596333
520	0.39113577648030773
521	0.3902999935679853
522	0.38946372212613223
523	0.38861908558537117
524	0.38776478313889645
525	0.38690637568733766
526	0.3860439010335752
527	0.3851821785602013
528	0.3843267110095681
529	0.38347865379278784
530	0.38263642791262753
531	0.3817940634219059
532	0.3809512898846329
533	0.3801151900096983
534	0.3792898077359948
535	0.3784683811944632
536	0.37764246095669324
537	0.3768059510659026
538	0.3759583998261362
539	0.37510381337340654
540	0.3742400883166787
541	0.3733676191629349
542	0.3724843199686235
543	0.37158884921614455
544	0.37068506182998884
545	0.36977452420642937
546	0.36885806413161526
547	0.3679424066410301
548	0.3670323420381273
549	0.36612916919110344
550	0.3652299055496295
551	0.3643343524062574
552	0.3634407669512727
553	0.36255017858618643
554	0.36166214240017597
555	0.3607763036277489
556	0.3598963737363116
557	0.35901966872135954
558	0.3581468128150706
559	0.35727617564706676
560	0.3564075323386751
561	0.3555436618862537
562	0.35468630903812615
563	0.3538353419688637
564	0.3529893299848408
565	0.35214416129584103
566	0.3513026953505062
567	0.35046812794618265
568	0.34963727007065637
569	0.34881216986459856
570	0.3479915497845144
571	0.34717273454964076
572	0.3463534298159318
573	0.3455371192642074
574	0.3447276045072041
575	0.34392932302149204
576	0.34314064540599787
577	0.3423607545369231
578	0.34158852989812216
579	0.34082040541788206
580	0.3400536873986519
581	0.3392922705064121
582	0.3385436552203458
583	0.3378136244118416
584	0.33710193575474345
585	0.3364062066982848
586	0.33572018522763875
587	0.33504005131328085
588	0.3343658369422637
589	0.33370197862185275
590	0.33305267150246215
591	0.3324210551617701
592	0.331809515058457
593	0.33121025216751565
594	0.33062057182209026
595	0.3300395153799075
596	0.32946961175673223
597	0.328912533972346
598	0.32837249850186456
599	0.32785042715398577
600	0.3273455735641488
601	0.3268565923375351
602	0.3263779535912629
603	0.3259107303455514
604	0.3254542566881236
605	0.3250109268014017
606	0.3245792731581843
607	0.32415253679732614
608	0.32372364664159275
609	0.3232905099623002
610	0.3228574876609533
611	0.3224277222231441
612	0.3219978201133829
613	0.32156616743947014
614	0.3211319286608197
615	0.3206939561207564
616	0.3202480856866141
617	0.3197934081506552
618	0.31932785695542065
619	0.31885804954358066
620	0.3183859691123967
621	0.31791137721293106
622	0.31743532747931047
623	0.3169559830792718
624	0.3164740002320457
625	0.3159924351551127
626	0.3155160975380187
627	0.3150441518401775
628	0.3145734129265935
629	0.31410146819805695
630	0.3136362116714282
631	0.31318406692845263
632	0.31274821231899347
633	0.31232755543673907
634	0.31191559127835555
635	0.31150789399892836
636	0.31110526715199094
637	0.3107079249538654
638	0.3103189914733558
639	0.30993898238052237
640	0.30956962885342415
641	0.3092096882435327
642	0.308856353444656
643	0.3085070800321552
644	0.3081580092043209
645	0.30781017908640573
646	0.30746432441131494
647	0.30712061577666244
648	0.30677841344139606
649	0.30643423954052385
650	0.3060888229911233
651	0.30574234214524515
652	0.3053969798769035
653	0.3050555810951707
654	0.30471856163173067
655	0.30438381518763463
656	0.30404869265334433
657	0.3037129798125378
658	0.3033829509740483
659	0.3030595977365066
660	0.30274486258637967
661	0.3024401907568625
662	0.3021507467029934
663	0.3018736438356012
664	0.30160468118844413
665	0.3013434632852353
666	0.30108616331131804
667	0.30083391826101663
668	0.30058300988179215
669	0.3003342698370123
670	0.3000892955406979
671	0.29984482528278816
672	0.2995997133452171
673	0.29935187475373787
674	0.29910165748871054
675	0.29885024410177674
676	0.2985980494553158
677	0.2983467611086786
678	0.2980925842342609
679	0.2978348461346534
680	0.2975741293619354
681	0.29731523875912963
682	0.2970616899941085
683	0.2968162484929652
684	0.2965775649836626
685	0.2963426491614348
686	0.2961096438386216
687	0.29587975579948017
688	0.29565195951971807
689	0.2954245858567721
690	0.2951971239871054
691	0.2949716394988723
692	0.29474910848182945
693	0.2945309044406296
694	0.2943196028176596
695	0.294116327036979
696	0.29392248259029297
697	0.2937365602703016
698	0.2935613826920708
699	0.2933960212617706
700	0.29323784237873657
701	0.29308784054951337
702	0.29294960704773404
703	0.2928212905015662
704	0.2927008631257357
705	0.29258626127069737
706	0.29247708655225063
707	0.2923761615854615
708	0.2922822728009403
709	0.2921973966108161
710	0.29212109488939864
711	0.2920550610118667
712	0.29199933278110046
713	0.2919541922647457
714	0.2919162042472139
715	0.29188361816435343
716	0.2918565900742088
717	0.2918352304775072
718	0.29181690383497516
719	0.2917961917337626
720	0.2917757083884414
721	0.2917577374807065
722	0.2917440925795099
723	0.2917345691615759
724	0.2917310467085711
725	0.29173422893565276
726	0.29173875074172523
727	0.2917419465390716
728	0.29174396753921333
729	0.2917461930626308
730	0.29174890905418815
731	0.2917473310262597
732	0.2917335416986741
733	0.29170447806881844
734	0.291661238358832
735	0.2916027291930986
736	0.2915278794900084
737	0.2914380491839493
738	0.291333029874427
739	0.2912103905454438
740	0.29106719323468333
741	0.2909090153209539
742	0.29074144387611023
743	0.2905665260715188
744	0.290385687754282
745	0.29019959095945824
746	0.2900102440862291
747	0.2898154293656142
748	0.28961312870538564
749	0.2894018871793023
750	0.2891856605195361
751	0.2889709052641896
752	0.2887550828044517
753	0.28853902092647166
754	0.28832451575171825
755	0.2881098070229937
756	0.2878908866656765
757	0.28766813076996084
758	0.28744125629889644
759	0.2872110105863487
760	0.2869793147940829
761	0.2867446887939378
762	0.2865074059298174
763	0.28626943485941375
764	0.28603208026675114
765	0.2857962368199979
766	0.28556052519867353
767	0.2853250084075787
768	0.2850935530028597
769	0.28486691407281906
770	0.28464884767287585
771	0.28443341002707384
772	0.28421304055934327
773	0.2839863948441702
774	0.2837526373409685
775	0.2835173900165592
776	0.28328238404900136
777	0.28304831055249213
778	0.28281448810588056
779	0.2825776404595365
780	0.28233858570656284
781	0.28209911609121
782	0.28186155503666244
783	0.2816272489070434
784	0.28139562290471054
785	0.28116644924307727
786	0.28093951564443076
787	0.28071540950737345
788	0.2804945321240197
789	0.2802772906023118
790	0.2800630490784162
791	0.27985338751887057
792	0.27964731917156727
793	0.2794455128566971
794	0.27924741703992884
795	0.2790495606414028
796	0.27885365739169476
797	0.27866311051934073
798	0.2784795620263743
799	0.27830182936115383
800	0.2781237050968651
801	0.277942996666448
802	0.27775918452262377
803	0.277573742977726
804	0.2773880145186595
805	0.2771983836391755
806	0.2770059650395919
807	0.2768115690585747
808	0.27662004997368245
809	0.27643455220911656
810	0.27625862535841117
811	0.2760911023787987
812	0.27593027923274954
