BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
77	2.00067	1.14706
78	2.02632	1.16951
79	2.05197	1.19968
80	2.07762	1.20831
81	2.10327	1.21509
82	2.12892	1.20645
83	2.15457	1.19356
84	2.18022	1.18288
85	2.20587	1.15782
86	2.23152	1.1323
87	2.25717	1.10764
88	2.28282	1.0752
89	2.30847	1.04691
90	2.33412	1.02084
91	2.35977	1.00097
92	2.38542	0.97553
93	2.41107	0.951016
94	2.43672	0.934314
95	2.46237	0.916735
96	2.48802	0.91013
97	2.51366	0.892102
98	2.53931	0.886862
99	2.56496	0.886849

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	4.86307e-05
34	0.897737	0.00137558
35	0.923387	0.0251607
36	0.949037	0.175128
37	0.974686	0.582733
38	1.00034	1.22501
39	1.02599	1.89327
40	1.05164	2.34825
41	1.07728	2.56989
42	1.10293	2.53194
43	1.12858	2.37709
44	1.15423	2.16993
45	1.17988	1.95032
46	1.20553	1.72513
47	1.23118	1.53365
48	1.25683	1.37913
49	1.28248	1.25581
50	1.30813	1.12512
51	1.33378	1.01055
52	1.35943	0.947904
53	1.38508	0.878096
54	1.41073	0.816254
55	1.43638	0.789143
56	1.46203	0.75431
57	1.48768	0.718629
58	1.51333	0.697492
59	1.53898	0.689029
60	1.56463	0.68247
61	1.59028	0.681914
62	1.61593	0.678013
63	1.64158	0.687119
64	1.66723	0.704273
65	1.69288	0.73298
66	1.71853	0.756606
67	1.74418	0.786451
68	1.76983	0.818989
69	1.79547	0.850969
70	1.82112	0.889241
71	1.84677	0.92231
72	1.87242	0.959916
73	1.89807	1.00176
74	1.92372	1.04889
75	1.94937	1.08179
76	1.97502	1.11365
77	2.00067	1.15252
78	2.02632	1.18208
79	2.05197	1.19556
80	2.07762	1.2163
81	2.10327	1.21407
82	2.12892	1.21117
83	2.15457	1.19513
84	2.18022	1.17836
85	2.20587	1.15189
86	2.23152	1.13152
87	2.25717	1.1071
88	2.28282	1.07113
89	2.30847	1.04931
90	2.33412	1.02108
91	2.35977	1.00568
92	2.38542	0.982068
93	2.41107	0.954543
94	2.43672	0.939784
95	2.46237	0.926675
96	2.48802	0.909708
97	2.51366	0.89561
98	2.53931	0.888932
99	2.56496	0.880862

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000687789
