BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.00102022	0.000194113
35	0.923387	0.024771	0.00103278
36	0.949037	0.162664	0.00276845
37	0.974686	0.557342	0.00348971
38	1.00034	1.19191	0.00594942
39	1.02599	1.85271	0.00565076
40	1.05164	2.33312	0.00825957
41	1.07728	2.5567	0.0118995
42	1.10293	2.54093	0.00538995
43	1.12858	2.41285	0.00657185
44	1.15423	2.20546	0.006675
45	1.17988	1.97547	0.00573109
46	1.20553	1.76808	0.00104338
47	1.23118	1.5715	0.00442107
48	1.25683	1.39928	0.00487966
49	1.28248	1.24831	0.00258255
50	1.30813	1.13201	0.00387473
51	1.33378	1.02691	0.00291442
52	1.35943	0.946275	0.0061117
53	1.38508	0.875693	0.00391879
54	1.41073	0.815708	0.00493765
55	1.43638	0.774942	0.00323533
56	1.46203	0.735435	0.00500091
57	1.48768	0.706108	0.00180882
58	1.51333	0.682569	0.00215316
59	1.53898	0.670329	0.00376262
60	1.56463	0.664867	0.00171807
61	1.59028	0.664908	0.00074979
62	1.61593	0.670342	0.00232598
63	1.64158	0.682727	0.00211636
64	1.66723	0.693703	0.00177689
65	1.69288	0.716382	0.00104636
66	1.71853	0.748362	0.00370319
67	1.74418	0.779941	0.00123753
68	1.76983	0.814208	0.000898376
69	1.79547	0.854517	0.00179471
70	1.82112	0.895358	0.00136312
71	1.84677	0.941994	0.00318603
72	1.87242	0.980364	0.00342389
73	1.89807	1.0242	0.00505752
74	1.92372	1.06158	0.00364722
75	1.94937	1.10093	0.00403691
76	1.97502	1.13489	0.00551195
77	2.00067	1.1626	0.00345526
78	2.02632	1.18521	0.00318518
79	2.05197	1.20642	0.00284578
80	2.07762	1.21519	0.00221724
81	2.10327	1.21624	0.0024578
82	2.12892	1.20921	0.00365954
83	2.15457	1.19525	0.00162087
84	2.18022	1.17768	0.00287656
85	2.20587	1.15175	0.00120557
86	2.23152	1.12532	0.00142289
87	2.25717	1.09813	0.00506302
88	2.28282	1.06539	0.00157969
89	2.30847	1.03663	0.00433711
90	2.33412	1.01018	0.00499789
91	2.35977	0.985992	0.00543015
92	2.38542	0.966017	0.00386511
93	2.41107	0.944703	0.00441538
94	2.43672	0.929562	0.003978
95	2.46237	0.914563	0.00365365
96	2.48802	0.904139	0.00311553
97	2.51366	0.89276	0.00180555
98	2.53931	0.884886	0.00218759
99	2.56496	0.883132	0.00123598

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.00109129	0.000167798
35	0.923387	0.024797	0.000826551
36	0.949037	0.161355	0.00250513
37	0.974686	0.557157	0.00279663
38	1.00034	1.18973	0.00514337
39	1.02599	1.85807	0.00658635
40	1.05164	2.33444	0.00671167
41	1.07728	2.55252	0.0102279
42	1.10293	2.54247	0.00452566
43	1.12858	2.41197	0.00531699
44	1.15423	2.20724	0.0055724
45	1.17988	1.97497	0.00460717
46	1.20553	1.76474	0.0031013
47	1.23118	1.56923	0.00408206
48	1.25683	1.39834	0.00399297
49	1.28248	1.24697	0.00239143
50	1.30813	1.1307	0.00331241
51	1.33378	1.0258	0.0025331
52	1.35943	0.945983	0.00489633
53	1.38508	0.872372	0.00431919
54	1.41073	0.816354	0.00399214
55	1.43638	0.775914	0.00273059
56	1.46203	0.736471	0.00410665
57	1.48768	0.70642	0.00147372
58	1.51333	0.685557	0.00317948
59	1.53898	0.673455	0.0041086
60	1.56463	0.667225	0.00251698
61	1.59028	0.668338	0.00312603
62	1.61593	0.672477	0.00266625
63	1.64158	0.68386	0.00197316
64	1.66723	0.695211	0.0019596
65	1.69288	0.716602	0.000860052
66	1.71853	0.747661	0.00302818
67	1.74418	0.77974	0.00100606
68	1.76983	0.814627	0.000810436
69	1.79547	0.852739	0.00214288
70	1.82112	0.895213	0.00109817
71	1.84677	0.941044	0.00268662
72	1.87242	0.980552	0.00274429
73	1.89807	1.02252	0.00431829
74	1.92372	1.06039	0.00310641
75	1.94937	1.09645	0.00514953
76	1.97502	1.13272	0.00481755
77	2.00067	1.15949	0.00391984
78	2.02632	1.18207	0.00379236
79	2.05197	1.20507	0.00257547
80	2.07762	1.21382	0.00215949
81	2.10327	1.21601	0.00197694
82	2.12892	1.20866	0.0029691
83	2.15457	1.19492	0.00133159
84	2.18022	1.17872	0.00248187
85	2.20587	1.15296	0.00145256
86	2.23152	1.12671	0.00168973
87	2.25717	1.10003	0.00439303
88	2.28282	1.06735	0.00216305
89	2.30847	1.03869	0.00392675
90	2.33412	1.01231	0.00442969
91	2.35977	0.988988	0.00510406
92	2.38542	0.96792	0.00352939
93	2.41107	0.945965	0.00370845
94	2.43672	0.930513	0.00329397
95	2.46237	0.914997	0.00294864
96	2.48802	0.905337	0.0027131
97	2.51366	0.892628	0.00144922
98	2.53931	0.885281	0.00178541
99	2.56496	0.883875	0.00119156

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	8.10512e-06	7.39893e-06
34	0.897737	0.00113867	0.000146368
35	0.923387	0.0248576	0.000691012
36	0.949037	0.163651	0.00295787
37	0.974686	0.56142	0.00453576
38	1.00034	1.19561	0.00686913
39	1.02599	1.86394	0.00766891
40	1.05164	2.33674	0.00597498
41	1.07728	2.55541	0.00892369
42	1.10293	2.54071	0.00409776
43	1.12858	2.40615	0.00691228
44	1.15423	2.20102	0.00733353
45	1.17988	1.97086	0.00536645
46	1.20553	1.75814	0.00655704
47	1.23118	1.5633	0.00639317
48	1.25683	1.39514	0.0044285
49	1.28248	1.24844	0.00240488
50	1.30813	1.12977	0.0028882
51	1.33378	1.02326	0.00313705
52	1.35943	0.946303	0.00409073
53	1.38508	0.873326	0.00370319
54	1.41073	0.816337	0.00332682
55	1.43638	0.778119	0.00303791
56	1.46203	0.739444	0.00436785
57	1.48768	0.708454	0.00222682
58	1.51333	0.687546	0.00321214
59	1.53898	0.676051	0.00416379
60	1.56463	0.669765	0.00312721
61	1.59028	0.670601	0.00332453
62	1.61593	0.6734	0.00237615
63	1.64158	0.684403	0.00171745
64	1.66723	0.696721	0.00213727
65	1.69288	0.719332	0.00259282
66	1.71853	0.749152	0.0028671
67	1.74418	0.780859	0.0013211
68	1.76983	0.815354	0.000946855
69	1.79547	0.852444	0.00180592
70	1.82112	0.894217	0.00128955
71	1.84677	0.937922	0.0036245
72	1.87242	0.977113	0.00388431
73	1.89807	1.01906	0.00478727
74	1.92372	1.05847	0.00312396
75	1.94937	1.09401	0.00483652
76	1.97502	1.12954	0.00495383
77	2.00067	1.15833	0.00343426
78	2.02632	1.18207	0.0031603
79	2.05197	1.20348	0.00258865
80	2.07762	1.21423	0.00183885
81	2.10327	1.21569	0.00167362
82	2.12892	1.20908	0.00250359
83	2.15457	1.19495	0.00111012
84	2.18022	1.17866	0.00206895
85	2.20587	1.15278	0.00122138
86	2.23152	1.12751	0.00158651
87	2.25717	1.10121	0.00381539
88	2.28282	1.06798	0.00189212
89	2.30847	1.04046	0.00365001
90	2.33412	1.01377	0.00392535
91	2.35977	0.99177	0.00495373
92	2.38542	0.970278	0.00364474
93	2.41107	0.947395	0.00335467
94	2.43672	0.932058	0.00308621
95	2.46237	0.916943	0.00303227
96	2.48802	0.906066	0.0023567
97	2.51366	0.893125	0.0012901
98	2.53931	0.885889	0.00158815
99	2.56496	0.883373	0.0010937

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	6.94725e-06	6.4319e-06
34	0.897737	0.00107426	0.00013891
35	0.923387	0.0246906	0.000612152
36	0.949037	0.162868	0.00263697
37	0.974686	0.5578	0.00513266
38	1.00034	1.19362	0.0061696
39	1.02599	1.86305	0.00662493
40	1.05164	2.33082	0.00749986
41	1.07728	2.55488	0.00766517
42	1.10293	2.54584	0.00590086
43	1.12858	2.40674	0.0059497
44	1.15423	2.20049	0.00630455
45	1.17988	1.97454	0.00572181
46	1.20553	1.76066	0.00608466
47	1.23118	1.56537	0.00580565
