Step	Energy
550	-5.36132
551	-5.29614
552	-5.39187
553	-5.29041
554	-5.3616
555	-5.38398
556	-5.46248
557	-5.48739
558	-5.44387
559	-5.34547
560	-5.35801
561	-5.3397
562	-5.4968
563	-5.47719
564	-5.506
565	-5.52744
566	-5.58098
567	-5.67824
568	-5.58986
569	-5.62766
570	-5.5693
571	-5.49338
572	-5.46634
573	-5.46685
574	-5.48703
575	-5.43175
576	-5.47357
577	-5.47635
578	-5.36457
579	-5.34791
580	-5.40932
581	-5.51101
582	-5.54751
583	-5.54885
584	-5.54035
585	-5.50653
586	-5.53502
587	-5.54988
588	-5.44808
589	-5.49055
590	-5.5758
591	-5.58982
592	-5.58662
593	-5.49726
594	-5.54216
595	-5.52662
596	-5.52093
597	-5.45216
598	-5.47899
599	-5.46631
600	-5.57542
601	-5.55065
602	-5.54078
603	-5.6078
604	-5.54352
605	-5.52725
606	-5.52715
607	-5.49263
608	-5.57582
609	-5.52022
610	-5.48311
611	-5.55953
612	-5.63391
613	-5.66809
614	-5.66693
615	-5.61753
616	-5.58867
617	-5.63082
618	-5.56331
619	-5.63498
620	-5.57513
621	-5.60899
622	-5.58817
623	-5.58906
624	-5.59689
625	-5.56393
626	-5.55702
627	-5.60564
628	-5.52996
629	-5.57561
630	-5.54547
631	-5.54836
632	-5.54324
633	-5.5466
634	-5.51105
635	-5.41529
636	-5.45937
637	-5.42489
638	-5.40123
639	-5.4204
640	-5.30472
641	-5.32635
642	-5.35496
643	-5.41612
644	-5.46871
645	-5.46084
646	-5.42973
647	-5.50081
648	-5.58542
649	-5.5373
650	-5.53245
651	-5.42169
652	-5.41651
653	-5.50271
654	-5.38448
655	-5.43858
656	-5.55029
657	-5.55974
658	-5.53127
659	-5.49644
660	-5.53103
661	-5.49316
662	-5.50963
663	-5.58366
664	-5.42728
665	-5.43204
666	-5.397
667	-5.44626
668	-5.41669
669	-5.42193
670	-5.34735
671	-5.42162
672	-5.5258
673	-5.42216
674	-5.49814
675	-5.5156
676	-5.56487
677	-5.5683
678	-5.5395
679	-5.46198
680	-5.39886
681	-5.43947
682	-5.44004
683	-5.50684
684	-5.52401
685	-5.47944
686	-5.44651
687	-5.45686
688	-5.55528
689	-5.55182
690	-5.43142
691	-5.44419
692	-5.48457
693	-5.44535
694	-5.47801
695	-5.42908
696	-5.44885
697	-5.53057
698	-5.55797
699	-5.5513
700	-5.4398
701	-5.38553
702	-5.50575
703	-5.53052
704	-5.43609
705	-5.40214
706	-5.42919
707	-5.61683
708	-5.59773
709	-5.54197
710	-5.70923
711	-5.58724
712	-5.57456
713	-5.5664
714	-5.51039
715	-5.46586
716	-5.43135
717	-5.51429
718	-5.53795
719	-5.58801
720	-5.60141
721	-5.53068
722	-5.56914
723	-5.56307
724	-5.47719
725	-5.60957
726	-5.65451
727	-5.67212
728	-5.64834
729	-5.64591
730	-5.60158
731	-5.58828
732	-5.65876
733	-5.52965
734	-5.49481
735	-5.50504
736	-5.49063
737	-5.50659
738	-5.41924
739	-5.38482
740	-5.37065
741	-5.36781
742	-5.34901
743	-5.37326
744	-5.44151
