BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
48	1.25683	1.37521	0.00910455
49	1.28248	1.24729	0.0102847
50	1.30813	1.13028	0.00784001
51	1.33378	1.03322	0.012051
52	1.35943	0.932672	0.00786332
53	1.38508	0.860397	0.00686037
54	1.41073	0.813539	0.00857811
55	1.43638	0.78011	0.00483622
56	1.46203	0.748152	0.0085501
57	1.48768	0.719682	0.0092798
58	1.51333	0.689879	0.0124231
59	1.53898	0.668966	0.0112157
60	1.56463	0.683326	0.0142705
61	1.59028	0.688347	0.0107977
62	1.61593	0.681665	0.0147701
63	1.64158	0.687866	0.00629947
64	1.66723	0.72063	0.00478862
65	1.69288	0.730293	0.00552154
66	1.71853	0.742169	0.00177923
67	1.74418	0.766547	0.00624536
68	1.76983	0.813452	0.0106583
69	1.79547	0.855279	0.00719429
70	1.82112	0.893313	0.00688602
71	1.84677	0.934175	0.0108114
72	1.87242	0.970426	0.0130191
73	1.89807	1.00842	0.011532
74	1.92372	1.05603	0.00859404
75	1.94937	1.09626	0.00639129
76	1.97502	1.12321	0.0102692
77	2.00067	1.1502	0.00906573
78	2.02632	1.19025	0.0114269
79	2.05197	1.21172	0.00542142
80	2.07762	1.20473	0.00666271
81	2.10327	1.21977	0.00628387
82	2.12892	1.21563	0.00677165
83	2.15457	1.19797	0.00722547
84	2.18022	1.18673	0.00632791
85	2.20587	1.15241	0.00922867
86	2.23152	1.12476	0.00247065
87	2.25717	1.09408	0.00657363
88	2.28282	1.05875	0.0061172
89	2.30847	1.03507	0.00977692
90	2.33412	1.0031	0.0117937
91	2.35977	0.991033	0.0085042
92	2.38542	0.964383	0.00464313
93	2.41107	0.93672	0.00384965
94	2.43672	0.925322	0.00549684
95	2.46237	0.907022	0.00535688
96	2.48802	0.898025	0.00389137
97	2.51366	0.900489	0.00479845
98	2.53931	0.895137	0.00301371
99	2.56496	0.895282	0.00485214

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
