block	ave	block_ave	err
349	0.50131	0.500207	0.00156014
350	0.483605	0.500159	0.00155641
351	0.535347	0.500259	0.0015552
352	0.566353	0.500446	0.00156205
353	0.451925	0.500309	0.00156365
354	0.505913	0.500325	0.00155932
355	0.465139	0.500226	0.00155807
356	0.529928	0.50031	0.00155592
357	0.515985	0.500353	0.00155219
358	0.523754	0.500419	0.00154923
359	0.465486	0.500321	0.00154797
360	0.517559	0.500369	0.00154441
361	0.513829	0.500406	0.00154059
362	0.460143	0.500295	0.00154034
363	0.443228	0.500139	0.00154408
364	0.549119	0.500273	0.00154568
365	0.474836	0.500203	0.00154301
366	0.54726	0.500332	0.00154414
367	0.497718	0.500325	0.00153995
368	0.529972	0.500405	0.00153787
369	0.500546	0.500405	0.00153371
370	0.578993	0.500617	0.00154417
371	0.524329	0.500681	0.00154133
372	0.512596	0.500713	0.00153753
373	0.507148	0.50073	0.00153351
374	0.512719	0.500762	0.00152974
375	0.479532	0.500705	0.00152672
376	0.504604	0.500716	0.0015227
377	0.461742	0.500613	0.00152216
378	0.514677	0.50065	0.00151859
379	0.471927	0.500574	0.00151647
380	0.507571	0.500593	0.0015126
381	0.476725	0.50053	0.00150993
382	0.523332	0.50059	0.00150716
383	0.483586	0.500545	0.00150388
384	0.481023	0.500495	0.00150082
385	0.506696	0.500511	0.00149702
386	0.515084	0.500548	0.00149362
387	0.466104	0.50046	0.00149241
388	0.495964	0.500448	0.00148861
389	0.502238	0.500453	0.0014848
390	0.516707	0.500494	0.00148158
391	0.555714	0.500635	0.00148449
392	0.522318	0.50069	0.00148174
393	0.514962	0.500726	0.00147841
394	0.498894	0.500722	0.00147467
395	0.521853	0.500775	0.00147191
396	0.454672	0.500659	0.00147279
397	0.468191	0.500577	0.00147134
398	0.48528	0.500539	0.00146815
399	0.493552	0.500522	0.00146458
400	0.500671	0.500522	0.00146093
401	0.547647	0.500639	0.00146199
402	0.531316	0.500715	0.00146035
403	0.528017	0.500783	0.00145829
404	0.486465	0.500748	0.00145512
405	0.486526	0.500713	0.00145195
406	0.527371	0.500778	0.00144986
407	0.515791	0.500815	0.00144677
408	0.513567	0.500846	0.00144357
409	0.519329	0.500891	0.00144075
410	0.510444	0.500914	0.00143742
411	0.496854	0.500905	0.00143397
412	0.461503	0.500809	0.00143367
413	0.538836	0.500901	0.00143315
414	0.53885	0.500992	0.00143261
415	0.542055	0.501091	0.00143257
416	0.530627	0.501162	0.00143088
417	0.510582	0.501185	0.00142763
418	0.494254	0.501168	0.00142432
419	0.504231	0.501175	0.00142094
420	0.51948	0.501219	0.00141823
421	0.51922	0.501261	0.00141551
422	0.555445	0.501389	0.00141795
423	0.503407	0.501394	0.00141461
424	0.521061	0.501441	0.00141204
425	0.511144	0.501463	0.0014089
426	0.508207	0.501479	0.00140569
427	0.500435	0.501477	0.0014024
428	0.502392	0.501479	0.00139913
429	0.447747	0.501354	0.00140146
430	0.465665	0.501271	0.00140065
431	0.473469	0.501207	0.00139889
432	0.481748	0.501162	0.00139638
433	0.553692	0.501283	0.0013984
434	0.483492	0.501242	0.00139578
435	0.491617	0.50122	0.00139275
436	0.477929	0.501166	0.00139058
437	0.514559	0.501197	0.00138774
438	0.534343	0.501273	0.00138663
439	0.490184	0.501247	0.00138371
440	0.455946	0.501145	0.00138438
441	0.44826	0.501025	0.00138642
442	0.525887	0.501081	0.00138443
443	0.491854	0.50106	0.00138146
444	0.513499	0.501088	0.00137864
445	0.514587	0.501119	0.00137587
446	0.496823	0.501109	0.00137283
447	0.44819	0.500991	0.00137484
448	0.492621	0.500972	0.0013719
449	0.517267	0.501008	0.00136933
450	0.505246	0.501018	0.00136632
451	0.525842	0.501073	0.0013644
452	0.500865	0.501072	0.00136139
453	0.532903	0.501142	0.00136019
454	0.513746	0.50117	0.00135748
455	0.50182	0.501171	0.00135451
456	0.486403	0.501139	0.00135192
457	0.551179	0.501248	0.00135339
458	0.495609	0.501236	0.00135049
459	0.462213	0.501151	0.00135022
460	0.481418	0.501109	0.00134797
461	0.480689	0.501064	0.00134577
462	0.486488	0.501033	0.00134323
463	0.568736	0.501179	0.00134825
464	0.498165	0.501172	0.00134536
465	0.494792	0.501159	0.00134254
466	0.495944	0.501147	0.00133971
467	0.497471	0.50114	0.00133687
468	0.532068	0.501206	0.00133565
469	0.501833	0.501207	0.0013328
470	0.5432	0.501296	0.00133295
471	0.494177	0.501281	0.00133021
472	0.496235	0.50127	0.00132744
473	0.464142	0.501192	0.00132695
474	0.521507	0.501235	0.00132484
475	0.490558	0.501212	0.00132225
476	0.521765	0.501255	0.00132018
477	0.460152	0.501169	0.00132022
478	0.525487	0.50122	0.00131843
479	0.555839	0.501334	0.0013206
480	0.508221	0.501348	0.00131793
481	0.524038	0.501395	0.00131603
482	0.515828	0.501425	0.00131364
483	0.48805	0.501398	0.00131122
484	0.46864	0.50133	0.00131025
485	0.517238	0.501363	0.00130796
486	0.495708	0.501351	0.00130533
487	0.479378	0.501306	0.00130343
488	0.493468	0.50129	0.00130086
489	0.456225	0.501198	0.00130145
490	0.553324	0.501304	0.00130313
491	0.499966	0.501302	0.00130048
