INITIAL DISTRIBUTION	DELTA
BIN SIZE	0.188562
BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.0395	1.39813	0.312178
1	0.377124	0.565685	3.7325	2.50844	0.453772
2	0.565685	0.754247	7.832	4.69294	0.86817
3	0.754247	0.942809	6.9095	5.48044	0.873988
4	0.942809	1.13137	10.153	9.01869	1.21525
5	1.13137	1.31993	12.1555	10.0188	1.26832
6	1.31993	1.50849	12.9715	22.7291	8.06
7	1.50849	1.69706	9.9145	14.1371	1.59028
8	1.69706	1.88562	11.373	10.8198	0.728439
9	1.88562	2.07418	9.046	8.752	1.03947
10	2.07418	2.26274	6.7125	6.10444	0.843669
11	2.26274	2.4513	6.111	5.0255	0.91721
12	2.4513	2.63987	5.089	3.09531	0.549032
13	2.63987	2.82843	2.192	1.95931	0.320876
14	2.82843	3.01699	1.146	1.08981	0.209405
15	3.01699	3.20555	0.523	0.430125	0.100461
16	3.20555	3.39411	0.377	0.18625	0.0451712
17	3.39411	3.58267	0.502	0.100437	0.0554158
18	3.58267	3.77124	0.173	0.021625	0.0202283
19	3.77124	3.9598	0.027	0.003375	0.00315702
20	3.9598	4.14836	0	0	0
21	4.14836	4.33692	0	0	0
22	4.33692	4.52548	0	0	0
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.3955	1.39783	0.277492
1	0.377124	0.565685	3.4955	2.61811	0.416395
2	0.565685	0.754247	9.0105	5.17267	0.894483
3	0.754247	0.942809	10.194	6.00417	0.920519
4	0.942809	1.13137	8.3555	8.945	1.08246
