step	acc_rate
0	-nan
818	0.0207824
819	0.020757
820	0.0207317
821	0.0207065
822	0.0206813
823	0.0206561
824	0.0206311
825	0.0206061
826	0.0205811
827	0.0205562
828	0.0205314
829	0.0205066
830	0.0204819
831	0.0204573
832	0.0204327
833	0.0204082
834	0.0203837
835	0.0203593
836	0.0203349
837	0.0203106
838	0.0202864
839	0.0202622
840	0.0202381
841	0.020214
842	0.02019
843	0.0201661
844	0.0201422
845	0.0201183
846	0.0200946
847	0.0200708
848	0.0200472
849	0.0200236
850	0.02
851	0.0199765
852	0.0199531
853	0.0199297
854	0.0199063
855	0.019883
856	0.0198598
857	0.0198366
858	0.0198135
859	0.0197905
860	0.0197674
861	0.0197445
862	0.0197216
863	0.0196987
864	0.0196759
865	0.0196532
866	0.0196305
867	0.0196078
868	0.0195853
869	0.0195627
870	0.0195402
871	0.0195178
872	0.0194954
873	0.0194731
874	0.0194508
875	0.0194286
876	0.0194064
877	0.0193843
878	0.0193622
879	0.0193402
880	0.0193182
881	0.0192963
882	0.0192744
883	0.0192525
884	0.0192308
885	0.019209
886	0.0191874
887	0.0191657
888	0.0191441
889	0.0191226
890	0.0191011
891	0.0190797
892	0.0190583
893	0.019037
894	0.0190157
895	0.0189944
896	0.0189732
897	0.0189521
898	0.018931
899	0.0189099
900	0.0188889
901	0.0188679
902	0.018847
903	0.0188261
904	0.0188053
905	0.0187845
906	0.0187638
907	0.0187431
908	0.0187225
909	0.0187019
910	0.0186813
911	0.0186608
912	0.0186404
913	0.0186199
914	0.0185996
915	0.0185792
916	0.018559
917	0.0185387
918	0.0185185
919	0.0184984
920	0.0184783
921	0.0184582
922	0.0184382
923	0.0184182
924	0.0183983
925	0.0183784
926	0.0183585
927	0.0183387
928	0.018319
929	0.0182992
930	0.0182796
931	0.0182599
932	0.0182403
933	0.0182208
934	0.0182013
935	0.0181818
936	0.0181624
937	0.018143
938	0.0181237
939	0.0181044
940	0.0180851
941	0.0180659
942	0.0180467
943	0.0180276
944	0.0180085
945	0.0179894
946	0.0179704
947	0.0179514
948	0.0179325
949	0.0179136
950	0.0178947
951	0.0178759
952	0.0178571
953	0.0178384
954	0.0178197
955	0.017801
956	0.0177824
957	0.0177638
958	0.0177453
959	0.0177268
960	0.0177083
961	0.0176899
962	0.0176715
963	0.0176532
964	0.0176349
965	0.0176166
966	0.0175983
967	0.0175801
968	0.017562
969	0.0175439
970	0.0175258
971	0.0175077
972	0.0174897
973	0.0174717
974	0.0174538
975	0.0174359
976	0.017418
977	0.0174002
978	0.0173824
979	0.0173647
980	0.0173469
981	0.0173293
982	0.0173116
983	0.017294
984	0.0172764
985	0.0172589
986	0.0172414
987	0.0172239
988	0.0172065
989	0.0171891
990	0.0171717
991	0.0171544
992	0.0171371
993	0.0171198
994	0.0171026
995	0.0170854
996	0.0170683
997	0.0170512
998	0.0170341
999	0.017017
1000	0.017
1001	0.016983
1002	0.0169661
1003	0.0169492
1004	0.0169323
1005	0.0169154
1006	0.0168986
1007	0.0168818
1008	0.0168651
1009	0.0168484
1010	0.0168317
1011	0.016815
1012	0.0167984
1013	0.0167818
1014	0.0167653
1015	0.0167488
1016	0.0167323
1017	0.0167158
1018	0.0166994
1019	0.016683
1020	0.0166667
1021	0.0166503
1022	0.0166341
1023	0.0166178
1024	0.0166016
1025	0.0165854
1026	0.0165692
1027	0.0165531
