step	acc_rate
0	-nan
1494	0.485274
1495	0.485619
1496	0.485294
1497	0.485638
1498	0.485314
1499	0.485657
1500	0.485333
1501	0.48501
1502	0.485353
1503	0.485695
1504	0.485372
1505	0.485714
1506	0.485392
1507	0.48507
1508	0.484748
1509	0.485089
1510	0.484768
1511	0.485109
1512	0.48545
1513	0.48579
1514	0.486129
1515	0.485809
1516	0.485488
1517	0.485827
1518	0.486166
1519	0.486504
1520	0.486184
1521	0.486522
1522	0.486859
1523	0.487196
1524	0.486877
1525	0.487213
1526	0.486894
1527	0.48723
1528	0.487565
1529	0.487901
1530	0.487582
1531	0.487916
1532	0.487598
1533	0.487932
1534	0.488266
1535	0.487948
1536	0.48763
1537	0.487964
1538	0.487646
1539	0.487979
1540	0.488312
1541	0.488644
1542	0.488975
1543	0.488658
1544	0.48899
1545	0.488673
1546	0.488357
1547	0.488688
1548	0.489018
1549	0.488702
1550	0.489032
1551	0.489362
1552	0.489046
1553	0.488731
1554	0.488417
1555	0.488746
1556	0.488432
1557	0.488118
1558	0.488447
1559	0.488133
1560	0.488462
1561	0.488789
1562	0.489117
1563	0.489443
1564	0.48977
1565	0.490096
1566	0.490421
1567	0.490108
1568	0.490434
1569	0.490121
1570	0.489809
1571	0.489497
1572	0.489186
1573	0.48951
1574	0.489835
1575	0.490159
1576	0.489848
1577	0.490171
1578	0.490494
1579	0.490817
1580	0.491139
1581	0.490829
1582	0.490518
1583	0.490208
1584	0.489899
1585	0.490221
1586	0.489912
1587	0.490233
1588	0.490554
1589	0.490875
1590	0.490566
1591	0.490258
1592	0.48995
1593	0.489642
1594	0.489962
1595	0.490282
1596	0.489975
1597	0.489668
1598	0.489362
1599	0.489056
1600	0.48875
1601	0.489069
1602	0.488764
1603	0.488459
1604	0.488778
1605	0.488474
1606	0.488169
1607	0.487866
1608	0.487562
1609	0.487259
1610	0.487578
1611	0.487275
1612	0.486973
1613	0.487291
1614	0.487608
1615	0.487307
1616	0.487624
1617	0.487322
1618	0.487639
1619	0.487956
1620	0.488272
1621	0.488587
1622	0.488903
1623	0.489217
1624	0.488916
1625	0.488615
1626	0.48893
1627	0.488629
1628	0.488329
1629	0.488029
1630	0.48773
1631	0.488044
1632	0.488358
1633	0.488059
1634	0.488372
1635	0.488685
1636	0.488386
1637	0.488088
1638	0.4884
1639	0.488713
1640	0.488415
1641	0.488117
1642	0.48782
1643	0.487523
1644	0.487226
1645	0.48693
1646	0.487242
1647	0.487553
1648	0.487257
1649	0.486962
1650	0.486667
1651	0.486978
1652	0.486683
1653	0.486388
1654	0.486699
1655	0.487009
1656	0.487319
1657	0.487628
1658	0.487937
1659	0.488246
1660	0.488554
1661	0.48826
1662	0.487966
1663	0.487673
1664	0.48738
1665	0.487688
1666	0.487995
1667	0.488302
1668	0.48801
1669	0.487717
1670	0.487425
1671	0.487732
1672	0.48744
1673	0.487149
1674	0.487455
1675	0.487761
1676	0.488067
1677	0.488372
1678	0.488677
1679	0.488386
1680	0.48869
1681	0.488995
1682	0.488704
1683	0.488414
1684	0.488124
1685	0.487834
1686	0.488138
1687	0.487848
1688	0.488152
1689	0.488455
1690	0.488166
1691	0.488468
1692	0.488771
1693	0.489073
1694	0.488784
1695	0.488496
1696	0.488208
1697	0.488509
1698	0.48881
1699	0.488523
1700	0.488235
1701	0.487948
1702	0.487662
1703	0.487962
1704	0.488263
1705	0.488563
1706	0.488277
1707	0.487991
1708	0.487705
1709	0.488005
1710	0.487719
1711	0.488019
1712	0.488318
1713	0.488033
1714	0.488331
1715	0.488047
1716	0.488345
1717	0.488643
1718	0.488941
1719	0.488656
1720	0.488372
1721	0.488669
1722	0.488386
1723	0.488683
1724	0.488979
1725	0.489275
1726	0.489571
1727	0.489867
1728	0.489583
1729	0.489879
1730	0.490173
1731	0.490468
1732	0.490185
1733	0.490479
1734	0.490773
1735	0.49049
1736	0.490783
1737	0.490501
1738	0.490794
1739	0.491087
1740	0.490805
1741	0.491097
1742	0.491389
1743	0.491681
1744	0.491972
1745	0.491691
1746	0.491982
1747	0.492272
1748	0.491991
1749	0.49171
1750	0.492
1751	0.491719
1752	0.492009
1753	0.491728
1754	0.491448
1755	0.491738
1756	0.492027
1757	0.491747
1758	0.492036
1759	0.492325
1760	0.492614
1761	0.492902
1762	0.49319
1763	0.493477
1764	0.493197
1765	0.493484
1766	0.493771
1767	0.493492
1768	0.493213
1769	0.493499
1770	0.49322
1771	0.492942
1772	0.493228
1773	0.493514
1774	0.493236
1775	0.492958
1776	0.493243
1777	0.492966
1778	0.493251
1779	0.493536
1780	0.49382
1781	0.493543
1782	0.493266
1783	0.49355
1784	0.493834
1785	0.494118
1786	0.494401
1787	0.494684
1788	0.494966
1789	0.49469
1790	0.494413
1791	0.494137
1792	0.49442
1793	0.494144
1794	0.493868
1795	0.493593
1796	0.493318
1797	0.4936
1798	0.493326
1799	0.493052
1800	0.492778
1801	0.492504
1802	0.492786
1803	0.493067
1804	0.493348
1805	0.493075
1806	0.492802
1807	0.492529
1808	0.492257
1809	0.491985
1810	0.491713
1811	0.491993
1812	0.492274
1813	0.492554
1814	0.492834
1815	0.492562
1816	0.492841
1817	0.493121
1818	0.492849
1819	0.492578
1820	0.492857
1821	0.493136
1822	0.492865
1823	0.493143
1824	0.493421
1825	0.493151
1826	0.492881
1827	0.493158
1828	0.493435
1829	0.493712
1830	0.493989
1831	0.494265
1832	0.494541
1833	0.494272
1834	0.494547
1835	0.494823
1836	0.494553
1837	0.494829
1838	0.495103
1839	0.494834
1840	0.495109
1841	0.495383
1842	0.495114
1843	0.495388
1844	0.495119
1845	0.494851
1846	0.494583
1847	0.494315
1848	0.494589
1849	0.494321
1850	0.494595
1851	0.494868
1852	0.4946
1853	0.494873
1854	0.494606
1855	0.49434
1856	0.494612
1857	0.494346
1858	0.49408
1859	0.494352
1860	0.494086
1861	0.493821
1862	0.494092
1863	0.494364
1864	0.494099
1865	0.493834
1866	0.494105
1867	0.49384
1868	0.494111
1869	0.493847
1870	0.494118
1871	0.493854
1872	0.49359
1873	0.493326
1874	0.493063
1875	0.4928
1876	0.49307
1877	0.492808
1878	0.493078
