x	y	z	r
3.63319	1.17892	5.7438	6.89791
2.05215	-0.0409732	5.81551	6.16711
3.19912	1.64942	4.69603	5.91673
1.52309	4.76606	7.65171	9.14242
1.52309	4.76606	7.65171	9.14242
2.72808	4.595	5.59577	7.73751
2.72808	4.595	5.59577	7.73751
2.72808	4.595	5.59577	7.73751
2.72808	4.595	5.59577	7.73751
2.72808	4.595	5.59577	7.73751
2.72808	4.595	5.59577	7.73751
4.04124	3.03016	5.61035	7.54914
5.89523	0.971895	4.67605	7.58708
5.89523	0.971895	4.67605	7.58708
2.89142	0.910621	5.97831	6.70296
2.89142	0.910621	5.97831	6.70296
3.76927	0.469305	6.77662	7.76854
2.2116	1.99501	4.04951	5.02691
0.137208	1.98171	6.0693	6.38611
1.00901	4.50936	4.90546	6.73914
1.00901	4.50936	4.90546	6.73914
1.00901	4.50936	4.90546	6.73914
1.00901	4.50936	4.90546	6.73914
1.7336	3.47807	4.32319	5.81312
-1.04162	3.9142	2.50861	4.76435
-1.85989	2.53505	5.41776	6.26401
-1.85989	2.53505	5.41776	6.26401
-1.85989	2.53505	5.41776	6.26401
-1.85989	2.53505	5.41776	6.26401
0.0478854	0.854472	6.83561	6.88897
-1.9201	-0.185701	4.56765	4.9583
-0.152364	-2.37419	5.25471	5.76819
0.0223326	-1.65377	4.63022	4.91674
0.0223326	-1.65377	4.63022	4.91674
0.0223326	-1.65377	4.63022	4.91674
0.0223326	-1.65377	4.63022	4.91674
0.0223326	-1.65377	4.63022	4.91674
-1.39339	1.41433	4.16753	4.61629
-1.39339	1.41433	4.16753	4.61629
-1.39339	1.41433	4.16753	4.61629
-1.04517	3.75563	2.60223	4.68708
-1.04517	3.75563	2.60223	4.68708
-0.563012	2.92494	2.02476	3.60165
-0.40602	0.849002	1.65265	1.90182
1.60694	1.76097	4.68823	5.25954
1.60694	1.76097	4.68823	5.25954
1.60694	1.76097	4.68823	5.25954
-0.864011	1.11414	3.94145	4.18603
1.82006	-1.49332	3.70291	4.38796
1.82006	-1.49332	3.70291	4.38796
1.82006	-1.49332	3.70291	4.38796
1.82006	-1.49332	3.70291	4.38796
3.66837	-0.536523	1.55329	4.01964
3.88076	0.0872409	4.49788	5.94128
3.20068	-2.7246	1.87003	4.60052
3.20068	-2.7246	1.87003	4.60052
3.20068	-2.7246	1.87003	4.60052
3.20068	-2.7246	1.87003	4.60052
3.20068	-2.7246	1.87003	4.60052
1.25359	-4.81976	4.99219	7.05149
2.92318	-3.22015	5.42473	6.95285
2.92318	-3.22015	5.42473	6.95285
2.82263	-2.19761	6.23884	7.19166
2.82263	-2.19761	6.23884	7.19166
2.82263	-2.19761	6.23884	7.19166
